Orthogroup	MK637631	KX643370
OG0000000	MK637631_00115 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	MK637631_00025 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	MK637631_00086 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000019	MK637631_00094 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000020	MK637631_00010 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000023	MK637631_00068 hypothetical protein, MK637631_00067 hypothetical protein	Lymph_LDV3_KX643370_00001 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000026	MK637631_00037 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000027	MK637631_00101 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000028	MK637631_00077 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
OG0000119	MK637631_00058 hypothetical protein	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein
OG0000133	MK637631_00034 Serine proteinase inhibitor 1, MK637631_00063 Serine proteinase inhibitor 2	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2
OG0000138	MK637631_00035 hypothetical protein	Lymph_LDV3_KX643370_00085 hypothetical protein, Lymph_LDV3_KX643370_00100 hypothetical protein, Lymph_LDV3_KX643370_00012 hypothetical protein
