Orthogroup	MK637631	AF303741
OG0000000	MK637631_00115 hypothetical protein	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	MK637631_00025 hypothetical protein	AF303741.1_00047 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	AF303741.1_00035 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	AF303741.1_00165 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	AF303741.1_00176 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	AF303741.1_00158 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	AF303741.1_00125 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	AF303741.1_00011 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	AF303741.1_00156 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	MK637631_00086 hypothetical protein	AF303741.1_00023 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	AF303741.1_00006 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	AF303741.1_00137 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	AF303741.1_00149 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	AF303741.1_00081 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	AF303741.1_00026 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	AF303741.1_00046 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000019	MK637631_00094 hypothetical protein	AF303741.1_00132 hypothetical protein
OG0000020	MK637631_00010 hypothetical protein	AF303741.1_00062 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	AF303741.1_00129 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	AF303741.1_00080 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000025	MK637631_00006 hypothetical protein	AF303741.1_00051 Dual specificity protein phosphatase H1
OG0000127	MK637631_00036 hypothetical protein	AF303741.1_00005 hypothetical protein, AF303741.1_00065 hypothetical protein
OG0000159	MK637631_00038 hypothetical protein	AF303741.1_00009 hypothetical protein
OG0000168	MK637631_00007 Thymidylate kinase	AF303741.1_00117 hypothetical protein
