Orthogroup	MK637631	MN803438
OG0000000	MK637631_00115 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	MK637631_00025 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	MN803438.1_00013 hypothetical protein
OG0000010	MK637631_00086 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000019	MK637631_00094 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	MK637631_00010 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000023	MK637631_00067 hypothetical protein	MN803438.1_00145 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000026	MK637631_00037 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000027	MK637631_00101 hypothetical protein	MN803438.1_00126 hypothetical protein
OG0000028	MK637631_00077 hypothetical protein	MN803438.1_00054 hypothetical protein
OG0000119	MK637631_00058 hypothetical protein	MN803438.1_00082 hypothetical protein
OG0000133	MK637631_00034 Serine proteinase inhibitor 1, MK637631_00063 Serine proteinase inhibitor 2	MN803438.1_00022 Serine proteinase inhibitor 2
OG0000138	MK637631_00035 hypothetical protein	MN803438.1_00096 hypothetical protein, MN803438.1_00011 hypothetical protein
