Orthogroup	MK637631	NC_005946
OG0000000	MK637631_00115 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	MK637631_00025 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	NC_005946.1_00092 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	MK637631_00086 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000019	MK637631_00094 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000020	MK637631_00010 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000026	MK637631_00037 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000027	MK637631_00101 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000028	MK637631_00077 hypothetical protein	NC_005946.1_00085 hypothetical protein
OG0000120	MK637631_00107 hypothetical protein	NC_005946.1_00006 hypothetical protein
OG0000205	MK637631_00040 hypothetical protein	NC_005946.1_00007 hypothetical protein
OG0000465	MK637631_00008 hypothetical protein	NC_005946.1_00030 hypothetical protein
