Orthogroup	MK637631	LS484712
OG0000000	MK637631_00115 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	MK637631_00025 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000010	MK637631_00086 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000019	MK637631_00094 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	LS484712.1_00117 hypothetical protein
