Orthogroup	MK637631	AY521625
OG0000000	MK637631_00115 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	MK637631_00025 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	MK637631_00030 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	MK637631_00114 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	MK637631_00105 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	MK637631_00070 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	MK637631_00044 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	MK637631_00017 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	MK637631_00043 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MK637631_00086 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	MK637631_00066 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	MK637631_00011 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	MK637631_00056 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	MK637631_00100 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	MK637631_00106 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	MK637631_00046 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000019	MK637631_00094 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	MK637631_00010 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	MK637631_00110 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	MK637631_00104 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	MK637631_00074 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000026	MK637631_00037 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000027	MK637631_00101 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000031	MK637631_00001 hypothetical protein	AY521625.1_00004 AY521625.1 - hypothetical protein translation
OG0000269	MK637631_00093 viral Ubiquitin	AY521625.1_00089 AY521625.1 - viral Ubiquitin translation
