Orthogroup	MK637631	MF599468
OG0000000	MK637631_00115 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	MK637631_00025 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	MK637631_00030 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	MK637631_00114 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	MK637631_00105 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	MK637631_00070 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	MK637631_00044 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	MK637631_00017 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	MK637631_00043 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MK637631_00086 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000011	MK637631_00066 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000012	MK637631_00011 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000013	MK637631_00056 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000014	MK637631_00100 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000015	MK637631_00106 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000016	MK637631_00046 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000019	MK637631_00094 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	MK637631_00010 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	MK637631_00110 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	MK637631_00104 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000030	MK637631_00087 hypothetical protein	MF599468.1_00013 MF599468.1 - hypothetical protein translation
OG0000127	MK637631_00036 hypothetical protein	MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation
OG0000168	MK637631_00007 Thymidylate kinase	MF599468.1_00098 MF599468.1 - Thymidylate kinase translation
OG0000269	MK637631_00093 viral Ubiquitin	MF599468.1_00076 MF599468.1 - viral Ubiquitin translation
