Orthogroup	OL774653.1	NC_005946.1
OG0000000	OL774653.1_00051	NC_005946.1_00010
OG0000001	OL774653.1_00025	NC_005946.1_00091
OG0000003	OL774653.1_00026	NC_005946.1_00053
OG0000004	OL774653.1_00032	NC_005946.1_00057
OG0000005	OL774653.1_00050	NC_005946.1_00095
OG0000006	OL774653.1_00094	NC_005946.1_00042
OG0000007	OL774653.1_00108	NC_005946.1_00002
OG0000008	OL774653.1_00006	NC_005946.1_00028
OG0000009	OL774653.1_00008	NC_005946.1_00092
OG0000010	OL774653.1_00023	NC_005946.1_00038
OG0000011	OL774653.1_00039	NC_005946.1_00060
OG0000012	OL774653.1_00052	NC_005946.1_00083
OG0000013	OL774653.1_00054	NC_005946.1_00087
OG0000014	OL774653.1_00056	NC_005946.1_00061
OG0000015	OL774653.1_00076	NC_005946.1_00022
OG0000016	OL774653.1_00082	NC_005946.1_00011
OG0000017	OL774653.1_00104	NC_005946.1_00094
OG0000018	OL774653.1_00105	NC_005946.1_00082
OG0000019	OL774653.1_00001	NC_005946.1_00023
OG0000020	OL774653.1_00016	NC_005946.1_00016
OG0000021	OL774653.1_00017	NC_005946.1_00021
OG0000022	OL774653.1_00065	NC_005946.1_00089
OG0000023	OL774653.1_00114	NC_005946.1_00014
OG0000024	OL774653.1_00004	NC_005946.1_00086
OG0000026	OL774653.1_00106	NC_005946.1_00049
OG0000027	OL774653.1_00068	NC_005946.1_00085
OG0000112	OL774653.1_00098	NC_005946.1_00006
