Orthogroup	OP009387.1	HF920637.1
OG0000000	OP009387.1_00030	HF920637.1_00129, HF920637.1_00164
OG0000001	OP009387.1_00008	HF920637.1_00059
OG0000002	OP009387.1_00007	HF920637.1_00143
OG0000003	OP009387.1_00015	HF920637.1_00159
OG0000004	OP009387.1_00112	HF920637.1_00025
OG0000005	OP009387.1_00095	HF920637.1_00221
OG0000006	OP009387.1_00077	HF920637.1_00121
OG0000007	OP009387.1_00091	HF920637.1_00172
OG0000008	OP009387.1_00029	HF920637.1_00176, HF920637.1_00175
OG0000009	OP009387.1_00113	HF920637.1_00153
OG0000011	OP009387.1_00064	HF920637.1_00217
OG0000012	OP009387.1_00023	HF920637.1_00001
OG0000013	OP009387.1_00057	HF920637.1_00017
OG0000014	OP009387.1_00121	HF920637.1_00108
OG0000015	OP009387.1_00122	HF920637.1_00152
OG0000016	OP009387.1_00088	HF920637.1_00079
OG0000017	OP009387.1_00033	HF920637.1_00073
OG0000018	OP009387.1_00107	HF920637.1_00111
OG0000019	OP009387.1_00087	HF920637.1_00197
OG0000020	OP009387.1_00031	HF920637.1_00031
OG0000021	OP009387.1_00005	HF920637.1_00041
OG0000022	OP009387.1_00035	HF920637.1_00213
OG0000023	OP009387.1_00044	HF920637.1_00033
OG0000024	OP009387.1_00026	HF920637.1_00061
OG0000025	OP009387.1_00065	HF920637.1_00156
OG0000031	OP009387.1_00006	HF920637.1_00127
