Orthogroup	OP009387.1	OK042108.1
OG0000000	OP009387.1_00030	OK042108.1_00047
OG0000001	OP009387.1_00008	OK042108.1_00068
OG0000002	OP009387.1_00007	OK042108.1_00069
OG0000003	OP009387.1_00015	OK042108.1_00062
OG0000004	OP009387.1_00112	OK042108.1_00087
OG0000005	OP009387.1_00095	OK042108.1_00104
OG0000006	OP009387.1_00077	OK042108.1_00001
OG0000007	OP009387.1_00091	OK042108.1_00109
OG0000008	OP009387.1_00029	OK042108.1_00048
OG0000009	OP009387.1_00113	OK042108.1_00085
OG0000010	OP009387.1_00078	OK042108.1_00122
OG0000011	OP009387.1_00064	OK042108.1_00013
OG0000012	OP009387.1_00023	OK042108.1_00055
OG0000013	OP009387.1_00057	OK042108.1_00020
OG0000014	OP009387.1_00121	OK042108.1_00077
OG0000015	OP009387.1_00122	OK042108.1_00076
OG0000016	OP009387.1_00088	OK042108.1_00112
OG0000017	OP009387.1_00033	OK042108.1_00044
OG0000018	OP009387.1_00107	OK042108.1_00092
OG0000019	OP009387.1_00087	OK042108.1_00113
OG0000020	OP009387.1_00031	OK042108.1_00046
OG0000021	OP009387.1_00005	OK042108.1_00070
OG0000022	OP009387.1_00035	OK042108.1_00042
OG0000023	OP009387.1_00044	OK042108.1_00033
OG0000024	OP009387.1_00026	OK042108.1_00050
OG0000025	OP009387.1_00065	OK042108.1_00012
OG0000026	OP009387.1_00110	OK042108.1_00089
OG0000027	OP009387.1_00089	OK042108.1_00111
OG0000028	OP009387.1_00047	OK042108.1_00030
OG0000029	OP009387.1_00062	OK042108.1_00015
OG0000030	OP009387.1_00001	OK042108.1_00074
OG0000032	OP009387.1_00082	OK042108.1_00118
OG0000033	OP009387.1_00090	OK042108.1_00110
OG0000034	OP009387.1_00123	OK042108.1_00075
OG0000035	OP009387.1_00013	OK042108.1_00064
OG0000036	OP009387.1_00014	OK042108.1_00063
OG0000037	OP009387.1_00019	OK042108.1_00058
OG0000038	OP009387.1_00020	OK042108.1_00057
OG0000039	OP009387.1_00024	OK042108.1_00054
OG0000040	OP009387.1_00025	OK042108.1_00053
OG0000041	OP009387.1_00032	OK042108.1_00045
OG0000042	OP009387.1_00036	OK042108.1_00041
OG0000043	OP009387.1_00049	OK042108.1_00028
OG0000044	OP009387.1_00050	OK042108.1_00027
OG0000045	OP009387.1_00055	OK042108.1_00022
OG0000046	OP009387.1_00056	OK042108.1_00021
OG0000047	OP009387.1_00058	OK042108.1_00019
OG0000048	OP009387.1_00060	OK042108.1_00018
OG0000049	OP009387.1_00061	OK042108.1_00016
OG0000050	OP009387.1_00079	OK042108.1_00121
OG0000051	OP009387.1_00083	OK042108.1_00117
OG0000052	OP009387.1_00084	OK042108.1_00116
OG0000053	OP009387.1_00094	OK042108.1_00105
OG0000054	OP009387.1_00096	OK042108.1_00103
OG0000055	OP009387.1_00099	OK042108.1_00100
OG0000056	OP009387.1_00111	OK042108.1_00088
OG0000057	OP009387.1_00115	OK042108.1_00083
OG0000058	OP009387.1_00117	OK042108.1_00081
OG0000059	OP009387.1_00002	OK042108.1_00073
OG0000060	OP009387.1_00010	OK042108.1_00066
OG0000061	OP009387.1_00018	OK042108.1_00059
OG0000062	OP009387.1_00092	OK042108.1_00108
OG0000063	OP009387.1_00072	OK042108.1_00004
OG0000064	OP009387.1_00017	OK042108.1_00060
OG0000065	OP009387.1_00038	OK042108.1_00039
OG0000066	OP009387.1_00042	OK042108.1_00035
OG0000067	OP009387.1_00046	OK042108.1_00031
OG0000068	OP009387.1_00067	OK042108.1_00009
OG0000069	OP009387.1_00098	OK042108.1_00101
OG0000070	OP009387.1_00100	OK042108.1_00099
OG0000071	OP009387.1_00114	OK042108.1_00084
OG0000072	OP009387.1_00009	OK042108.1_00067
OG0000073	OP009387.1_00012	OK042108.1_00065
OG0000074	OP009387.1_00016	OK042108.1_00061
OG0000075	OP009387.1_00034	OK042108.1_00043
OG0000076	OP009387.1_00037	OK042108.1_00040
OG0000077	OP009387.1_00040	OK042108.1_00037
OG0000078	OP009387.1_00041	OK042108.1_00036
OG0000079	OP009387.1_00045	OK042108.1_00032
OG0000080	OP009387.1_00051	OK042108.1_00026
OG0000081	OP009387.1_00052	OK042108.1_00025
OG0000082	OP009387.1_00053	OK042108.1_00024
OG0000083	OP009387.1_00063	OK042108.1_00014
OG0000084	OP009387.1_00066	OK042108.1_00011
OG0000085	OP009387.1_00068	OK042108.1_00008
OG0000086	OP009387.1_00069	OK042108.1_00007
OG0000087	OP009387.1_00074	OK042108.1_00003
OG0000088	OP009387.1_00075	OK042108.1_00002
OG0000089	OP009387.1_00085	OK042108.1_00115
OG0000090	OP009387.1_00086	OK042108.1_00114
OG0000091	OP009387.1_00097	OK042108.1_00102
OG0000092	OP009387.1_00101	OK042108.1_00098
OG0000093	OP009387.1_00105	OK042108.1_00094
OG0000094	OP009387.1_00108	OK042108.1_00091
OG0000095	OP009387.1_00109	OK042108.1_00090
OG0000096	OP009387.1_00119	OK042108.1_00079
OG0000097	OP009387.1_00003	OK042108.1_00072
OG0000098	OP009387.1_00004	OK042108.1_00071
OG0000099	OP009387.1_00039	OK042108.1_00038
OG0000100	OP009387.1_00043	OK042108.1_00034
OG0000101	OP009387.1_00070	OK042108.1_00006
OG0000102	OP009387.1_00080	OK042108.1_00120
OG0000103	OP009387.1_00102	OK042108.1_00097
OG0000104	OP009387.1_00106	OK042108.1_00093
OG0000105	OP009387.1_00116	OK042108.1_00082
OG0000107	OP009387.1_00103	OK042108.1_00096
OG0000108	OP009387.1_00120	OK042108.1_00078
OG0000109	OP009387.1_00071	OK042108.1_00005
OG0000110	OP009387.1_00118	OK042108.1_00080
OG0000112	OP009387.1_00081	OK042108.1_00119
OG0000114	OP009387.1_00022	OK042108.1_00056
OG0000116	OP009387.1_00054	OK042108.1_00023
OG0000118	OP009387.1_00093	OK042108.1_00107
OG0000120	OP009387.1_00104	OK042108.1_00095
OG0000130	OP009387.1_00048	OK042108.1_00029
