Orthogroup	OP009387.1	AF303741.1
OG0000000	OP009387.1_00030	AF303741.1_00079, AF303741.1_00152
OG0000001	OP009387.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	OP009387.1_00007	AF303741.1_00125
OG0000003	OP009387.1_00015	AF303741.1_00035
OG0000004	OP009387.1_00112	AF303741.1_00080
OG0000005	OP009387.1_00095	AF303741.1_00129
OG0000006	OP009387.1_00077	AF303741.1_00132
OG0000007	OP009387.1_00091	AF303741.1_00149
OG0000008	OP009387.1_00029	AF303741.1_00165
OG0000009	OP009387.1_00113	AF303741.1_00176
OG0000011	OP009387.1_00064	AF303741.1_00006
OG0000012	OP009387.1_00023	AF303741.1_00011
OG0000013	OP009387.1_00057	AF303741.1_00023
OG0000014	OP009387.1_00121	AF303741.1_00026
OG0000015	OP009387.1_00122	AF303741.1_00046
OG0000016	OP009387.1_00088	AF303741.1_00062
OG0000017	OP009387.1_00033	AF303741.1_00063
OG0000018	OP009387.1_00107	AF303741.1_00081
OG0000019	OP009387.1_00087	AF303741.1_00137
OG0000020	OP009387.1_00031	AF303741.1_00156
OG0000021	OP009387.1_00005	AF303741.1_00158
OG0000022	OP009387.1_00035	AF303741.1_00189
OG0000023	OP009387.1_00044	AF303741.1_00154
OG0000024	OP009387.1_00026	AF303741.1_00168
OG0000025	OP009387.1_00065	AF303741.1_00051
