Orthogroup	OP009387.1	MK098185.1
OG0000000	OP009387.1_00030	MK098185.1_00033
OG0000001	OP009387.1_00008	MK098185.1_00008
OG0000002	OP009387.1_00007	MK098185.1_00007
OG0000003	OP009387.1_00015	MK098185.1_00015
OG0000004	OP009387.1_00112	MK098185.1_00112
OG0000005	OP009387.1_00095	MK098185.1_00095
OG0000006	OP009387.1_00077	MK098185.1_00076
OG0000007	OP009387.1_00091	MK098185.1_00090
OG0000008	OP009387.1_00029	MK098185.1_00032
OG0000009	OP009387.1_00113	MK098185.1_00114
OG0000010	OP009387.1_00078	MK098185.1_00077
OG0000011	OP009387.1_00064	MK098185.1_00064
OG0000012	OP009387.1_00023	MK098185.1_00022
OG0000013	OP009387.1_00057	MK098185.1_00058
OG0000014	OP009387.1_00121	MK098185.1_00122
OG0000015	OP009387.1_00122	MK098185.1_00123
OG0000016	OP009387.1_00088	MK098185.1_00087
OG0000017	OP009387.1_00033	MK098185.1_00036
OG0000018	OP009387.1_00107	MK098185.1_00107
OG0000019	OP009387.1_00087	MK098185.1_00086
OG0000020	OP009387.1_00031	MK098185.1_00034
OG0000021	OP009387.1_00005	MK098185.1_00005
OG0000022	OP009387.1_00035	MK098185.1_00038
OG0000023	OP009387.1_00044	MK098185.1_00047
OG0000024	OP009387.1_00026	MK098185.1_00029
OG0000025	OP009387.1_00065	MK098185.1_00065
OG0000026	OP009387.1_00110	MK098185.1_00110
OG0000027	OP009387.1_00089	MK098185.1_00088
OG0000028	OP009387.1_00047	MK098185.1_00050
OG0000029	OP009387.1_00062	MK098185.1_00062
OG0000030	OP009387.1_00001	MK098185.1_00001
OG0000031	OP009387.1_00006	MK098185.1_00006
OG0000032	OP009387.1_00082	MK098185.1_00081
OG0000033	OP009387.1_00090	MK098185.1_00089
OG0000034	OP009387.1_00123	MK098185.1_00124
OG0000035	OP009387.1_00013	MK098185.1_00013
OG0000036	OP009387.1_00014	MK098185.1_00014
OG0000037	OP009387.1_00019	MK098185.1_00019
OG0000038	OP009387.1_00020	MK098185.1_00020
OG0000039	OP009387.1_00024	MK098185.1_00023
OG0000040	OP009387.1_00025	MK098185.1_00024
OG0000041	OP009387.1_00032	MK098185.1_00035
OG0000042	OP009387.1_00036	MK098185.1_00039
OG0000043	OP009387.1_00049	MK098185.1_00051
OG0000044	OP009387.1_00050	MK098185.1_00052
OG0000045	OP009387.1_00055	MK098185.1_00056
OG0000046	OP009387.1_00056	MK098185.1_00057
OG0000047	OP009387.1_00058	MK098185.1_00059
OG0000048	OP009387.1_00060	MK098185.1_00060
OG0000049	OP009387.1_00061	MK098185.1_00061
OG0000050	OP009387.1_00079	MK098185.1_00078
OG0000051	OP009387.1_00083	MK098185.1_00082
