Orthogroup	MN432490.1	OL774655.1
OG0000000	MN432490.1_00032	OL774655.1_00034
OG0000001	MN432490.1_00007	OL774655.1_00007
OG0000002	MN432490.1_00079	OL774655.1_00079
OG0000003	MN432490.1_00008	OL774655.1_00008
OG0000004	MN432490.1_00015	OL774655.1_00015
OG0000005	MN432490.1_00031	OL774655.1_00033
OG0000006	MN432490.1_00078	OL774655.1_00078
OG0000007	MN432490.1_00092	OL774655.1_00091
OG0000008	MN432490.1_00113	OL774655.1_00113
OG0000009	MN432490.1_00114	OL774655.1_00115
OG0000010	MN432490.1_00005	OL774655.1_00005
OG0000011	MN432490.1_00023	OL774655.1_00022
OG0000012	MN432490.1_00033	OL774655.1_00035
OG0000013	MN432490.1_00035	OL774655.1_00037
OG0000014	MN432490.1_00037	OL774655.1_00039
OG0000015	MN432490.1_00058	OL774655.1_00060
OG0000016	MN432490.1_00064	OL774655.1_00066
OG0000017	MN432490.1_00088	OL774655.1_00087
OG0000018	MN432490.1_00089	OL774655.1_00088
OG0000019	MN432490.1_00108	OL774655.1_00108
OG0000020	MN432490.1_00122	OL774655.1_00123
OG0000021	MN432490.1_00123	OL774655.1_00124
OG0000022	MN432490.1_00046	OL774655.1_00048
OG0000023	MN432490.1_00097	OL774655.1_00096
OG0000024	MN432490.1_00111	OL774655.1_00111
OG0000025	MN432490.1_00065	OL774655.1_00067
OG0000026	MN432490.1_00090	OL774655.1_00089
OG0000027	MN432490.1_00049	OL774655.1_00051
OG0000028	MN432490.1_00006	OL774655.1_00006
OG0000029	MN432490.1_00062	OL774655.1_00064
OG0000030	MN432490.1_00001	OL774655.1_00001
OG0000031	MN432490.1_00083	OL774655.1_00082
OG0000032	MN432490.1_00091	OL774655.1_00090
OG0000033	MN432490.1_00124	OL774655.1_00125
OG0000034	MN432490.1_00013	OL774655.1_00013
OG0000035	MN432490.1_00014	OL774655.1_00014
OG0000036	MN432490.1_00019	OL774655.1_00019
OG0000037	MN432490.1_00020	OL774655.1_00020
OG0000038	MN432490.1_00024	OL774655.1_00023
OG0000039	MN432490.1_00025	OL774655.1_00024
OG0000040	MN432490.1_00034	OL774655.1_00036
OG0000041	MN432490.1_00038	OL774655.1_00040
OG0000042	MN432490.1_00050	OL774655.1_00052
OG0000043	MN432490.1_00051	OL774655.1_00053
OG0000044	MN432490.1_00056	OL774655.1_00058
OG0000045	MN432490.1_00057	OL774655.1_00059
OG0000046	MN432490.1_00059	OL774655.1_00061
OG0000047	MN432490.1_00060	OL774655.1_00062
OG0000048	MN432490.1_00061	OL774655.1_00063
OG0000049	MN432490.1_00080	OL774655.1_00080
OG0000050	MN432490.1_00084	OL774655.1_00083
OG0000051	MN432490.1_00085	OL774655.1_00084
OG0000052	MN432490.1_00096	OL774655.1_00095
OG0000053	MN432490.1_00098	OL774655.1_00097
OG0000054	MN432490.1_00101	OL774655.1_00100
OG0000055	MN432490.1_00112	OL774655.1_00112
OG0000056	MN432490.1_00116	OL774655.1_00117
OG0000057	MN432490.1_00118	OL774655.1_00119
OG0000058	MN432490.1_00002	OL774655.1_00002
OG0000059	MN432490.1_00010	OL774655.1_00010
OG0000060	MN432490.1_00018	OL774655.1_00018
OG0000061	MN432490.1_00093	OL774655.1_00092
OG0000062	MN432490.1_00028	OL774655.1_00030
OG0000063	MN432490.1_00073	OL774655.1_00075
OG0000064	MN432490.1_00017	OL774655.1_00017
OG0000065	MN432490.1_00040	OL774655.1_00042
OG0000066	MN432490.1_00044	OL774655.1_00046
OG0000067	MN432490.1_00048	OL774655.1_00050
OG0000068	MN432490.1_00067	OL774655.1_00070
OG0000069	MN432490.1_00100	OL774655.1_00099
OG0000070	MN432490.1_00102	OL774655.1_00101
OG0000071	MN432490.1_00115	OL774655.1_00116
OG0000072	MN432490.1_00009	OL774655.1_00009
OG0000073	MN432490.1_00012	OL774655.1_00012
OG0000074	MN432490.1_00016	OL774655.1_00016
OG0000075	MN432490.1_00036	OL774655.1_00038
OG0000076	MN432490.1_00039	OL774655.1_00041
OG0000077	MN432490.1_00042	OL774655.1_00044
OG0000078	MN432490.1_00043	OL774655.1_00045
OG0000079	MN432490.1_00047	OL774655.1_00049
OG0000080	MN432490.1_00052	OL774655.1_00054
OG0000081	MN432490.1_00053	OL774655.1_00055
OG0000082	MN432490.1_00054	OL774655.1_00056
OG0000083	MN432490.1_00063	OL774655.1_00065
OG0000084	MN432490.1_00066	OL774655.1_00068
OG0000085	MN432490.1_00069	OL774655.1_00071
OG0000086	MN432490.1_00070	OL774655.1_00072
OG0000087	MN432490.1_00075	OL774655.1_00076
OG0000088	MN432490.1_00076	OL774655.1_00077
OG0000089	MN432490.1_00086	OL774655.1_00085
OG0000090	MN432490.1_00087	OL774655.1_00086
OG0000091	MN432490.1_00099	OL774655.1_00098
OG0000092	MN432490.1_00103	OL774655.1_00102
OG0000093	MN432490.1_00106	OL774655.1_00106
OG0000094	MN432490.1_00109	OL774655.1_00109
OG0000095	MN432490.1_00110	OL774655.1_00110
OG0000096	MN432490.1_00120	OL774655.1_00121
OG0000097	MN432490.1_00003	OL774655.1_00003
OG0000098	MN432490.1_00004	OL774655.1_00004
OG0000099	MN432490.1_00041	OL774655.1_00043
OG0000100	MN432490.1_00045	OL774655.1_00047
OG0000101	MN432490.1_00071	OL774655.1_00073
OG0000103	MN432490.1_00104	OL774655.1_00103
OG0000104	MN432490.1_00107	OL774655.1_00107
OG0000105	MN432490.1_00117	OL774655.1_00118
OG0000106	MN432490.1_00030	OL774655.1_00032
