Orthogroup	MN432490.1	HF920637.1
OG0000000	MN432490.1_00032	HF920637.1_00129, HF920637.1_00164
OG0000001	MN432490.1_00007	HF920637.1_00143
OG0000003	MN432490.1_00008	HF920637.1_00059
OG0000004	MN432490.1_00015	HF920637.1_00159
OG0000005	MN432490.1_00031	HF920637.1_00176, HF920637.1_00175
OG0000006	MN432490.1_00078	HF920637.1_00121
OG0000007	MN432490.1_00092	HF920637.1_00172
OG0000008	MN432490.1_00113	HF920637.1_00025
OG0000009	MN432490.1_00114	HF920637.1_00153
OG0000010	MN432490.1_00005	HF920637.1_00041
OG0000011	MN432490.1_00023	HF920637.1_00001
OG0000012	MN432490.1_00033	HF920637.1_00031
OG0000013	MN432490.1_00035	HF920637.1_00073
OG0000014	MN432490.1_00037	HF920637.1_00213
OG0000015	MN432490.1_00058	HF920637.1_00017
OG0000016	MN432490.1_00064	HF920637.1_00217
OG0000017	MN432490.1_00088	HF920637.1_00197
OG0000018	MN432490.1_00089	HF920637.1_00079
OG0000019	MN432490.1_00108	HF920637.1_00111
OG0000020	MN432490.1_00122	HF920637.1_00108
OG0000021	MN432490.1_00123	HF920637.1_00152
OG0000022	MN432490.1_00046	HF920637.1_00033
OG0000023	MN432490.1_00097	HF920637.1_00221
OG0000024	MN432490.1_00111	HF920637.1_00203
OG0000025	MN432490.1_00065	HF920637.1_00156
OG0000028	MN432490.1_00006	HF920637.1_00127
