Orthogroup	MN432490.1	MN803438.1
OG0000000	MN432490.1_00032	MN803438.1_00124
OG0000001	MN432490.1_00007	MN803438.1_00023
OG0000003	MN432490.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	MN432490.1_00015	MN803438.1_00113
OG0000005	MN432490.1_00031	MN803438.1_00106
OG0000006	MN432490.1_00078	MN803438.1_00142
OG0000007	MN432490.1_00092	MN803438.1_00027
OG0000008	MN432490.1_00113	MN803438.1_00104
OG0000009	MN432490.1_00114	MN803438.1_00109
OG0000010	MN432490.1_00005	MN803438.1_00089
OG0000011	MN432490.1_00023	MN803438.1_00128
OG0000012	MN432490.1_00033	MN803438.1_00068
OG0000013	MN432490.1_00035	MN803438.1_00035
OG0000014	MN432490.1_00037	MN803438.1_00013
OG0000015	MN432490.1_00058	MN803438.1_00007
OG0000016	MN432490.1_00064	MN803438.1_00049
OG0000017	MN432490.1_00088	MN803438.1_00097
OG0000018	MN432490.1_00089	MN803438.1_00122
OG0000019	MN432490.1_00108	MN803438.1_00051
OG0000020	MN432490.1_00122	MN803438.1_00070
OG0000021	MN432490.1_00123	MN803438.1_00046
OG0000022	MN432490.1_00046	MN803438.1_00077
OG0000023	MN432490.1_00097	MN803438.1_00071
OG0000024	MN432490.1_00111	MN803438.1_00126
OG0000026	MN432490.1_00090	MN803438.1_00037
OG0000027	MN432490.1_00049	MN803438.1_00054
OG0000028	MN432490.1_00006	MN803438.1_00145
OG0000129	MN432490.1_00074	MN803438.1_00082
