Orthogroup	OL774653.1	HF920633.1
OG0000000	OL774653.1_00051	HF920633.1_00044
OG0000001	OL774653.1_00025	HF920633.1_00073
OG0000003	OL774653.1_00026	HF920633.1_00069
OG0000004	OL774653.1_00032	HF920633.1_00127
OG0000005	OL774653.1_00050	HF920633.1_00043
OG0000006	OL774653.1_00094	HF920633.1_00025
OG0000007	OL774653.1_00108	HF920633.1_00091
OG0000008	OL774653.1_00006	HF920633.1_00079
OG0000009	OL774653.1_00008	HF920633.1_00122
OG0000010	OL774653.1_00023	HF920633.1_00097
OG0000011	OL774653.1_00039	HF920633.1_00001
OG0000012	OL774653.1_00052	HF920633.1_00080
OG0000013	OL774653.1_00054	HF920633.1_00158
OG0000014	OL774653.1_00056	HF920633.1_00175
OG0000015	OL774653.1_00076	HF920633.1_00067
OG0000016	OL774653.1_00082	HF920633.1_00118
OG0000017	OL774653.1_00104	HF920633.1_00163
OG0000018	OL774653.1_00105	HF920633.1_00094
OG0000019	OL774653.1_00001	HF920633.1_00003
OG0000020	OL774653.1_00016	HF920633.1_00138
OG0000021	OL774653.1_00017	HF920633.1_00058
OG0000022	OL774653.1_00065	HF920633.1_00017
OG0000025	OL774653.1_00083	HF920633.1_00047
OG0000028	OL774653.1_00024	HF920633.1_00030
