Orthogroup	OL774653.1	MF599468.1
OG0000000	OL774653.1_00051	MF599468.1_00057, MF599468.1_00056
OG0000001	OL774653.1_00025	MF599468.1_00152
OG0000003	OL774653.1_00026	MF599468.1_00163
OG0000004	OL774653.1_00032	MF599468.1_00011
OG0000005	OL774653.1_00050	MF599468.1_00030
OG0000006	OL774653.1_00094	MF599468.1_00010
OG0000007	OL774653.1_00108	MF599468.1_00174
OG0000008	OL774653.1_00006	MF599468.1_00092
OG0000009	OL774653.1_00008	MF599468.1_00075
OG0000010	OL774653.1_00023	MF599468.1_00116
OG0000011	OL774653.1_00039	MF599468.1_00112
OG0000012	OL774653.1_00052	MF599468.1_00090
OG0000013	OL774653.1_00054	MF599468.1_00035
OG0000014	OL774653.1_00056	MF599468.1_00071
OG0000015	OL774653.1_00076	MF599468.1_00033
OG0000016	OL774653.1_00082	MF599468.1_00149
OG0000017	OL774653.1_00104	MF599468.1_00106
OG0000018	OL774653.1_00105	MF599468.1_00046
OG0000019	OL774653.1_00001	MF599468.1_00117
OG0000020	OL774653.1_00016	MF599468.1_00122
OG0000021	OL774653.1_00017	MF599468.1_00009
OG0000022	OL774653.1_00065	MF599468.1_00171
OG0000023	OL774653.1_00114	MF599468.1_00154
OG0000024	OL774653.1_00004	MF599468.1_00039
OG0000046	OL774653.1_00077	MF599468.1_00013
OG0000069	OL774653.1_00117	MF599468.1_00131
