Orthogroup	OL774653.1	LS484712.1
OG0000000	OL774653.1_00051	LS484712.1_00114
OG0000001	OL774653.1_00025	LS484712.1_00142
OG0000003	OL774653.1_00026	LS484712.1_00095
OG0000004	OL774653.1_00032	LS484712.1_00187
OG0000005	OL774653.1_00050	LS484712.1_00248
OG0000006	OL774653.1_00094	LS484712.1_00040
OG0000007	OL774653.1_00108	LS484712.1_00234, LS484712.1_00050
OG0000009	OL774653.1_00008	LS484712.1_00130
OG0000010	OL774653.1_00023	LS484712.1_00096
OG0000011	OL774653.1_00039	LS484712.1_00200
OG0000012	OL774653.1_00052	LS484712.1_00188
OG0000013	OL774653.1_00054	LS484712.1_00240
OG0000014	OL774653.1_00056	LS484712.1_00194
OG0000015	OL774653.1_00076	LS484712.1_00143
OG0000016	OL774653.1_00082	LS484712.1_00203
OG0000017	OL774653.1_00104	LS484712.1_00192
OG0000018	OL774653.1_00105	LS484712.1_00048
OG0000019	OL774653.1_00001	LS484712.1_00053
OG0000020	OL774653.1_00016	LS484712.1_00202
OG0000021	OL774653.1_00017	LS484712.1_00135
OG0000022	OL774653.1_00065	LS484712.1_00117
OG0000068	OL774653.1_00086	LS484712.1_00002
