Orthogroup	OK042108.1	OM037668.1
OG0000000	OK042108.1_00047	OM037668.1_00035
OG0000001	OK042108.1_00068	OM037668.1_00056
OG0000002	OK042108.1_00069	OM037668.1_00057
OG0000003	OK042108.1_00062	OM037668.1_00050
OG0000004	OK042108.1_00087	OM037668.1_00076
OG0000005	OK042108.1_00104	OM037668.1_00080
OG0000006	OK042108.1_00001	OM037668.1_00021
OG0000007	OK042108.1_00109	OM037668.1_00084
OG0000008	OK042108.1_00048	OM037668.1_00038
OG0000009	OK042108.1_00085	OM037668.1_00077
OG0000010	OK042108.1_00122	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000011	OK042108.1_00013	OM037668.1_00009
OG0000012	OK042108.1_00055	OM037668.1_00041
OG0000013	OK042108.1_00020	OM037668.1_00098
OG0000014	OK042108.1_00077	OM037668.1_00078
OG0000015	OK042108.1_00076	OM037668.1_00004
OG0000016	OK042108.1_00112	OM037668.1_00089
OG0000017	OK042108.1_00044	OM037668.1_00124
OG0000018	OK042108.1_00092	OM037668.1_00073
OG0000019	OK042108.1_00113	OM037668.1_00090
OG0000020	OK042108.1_00046	OM037668.1_00123
OG0000021	OK042108.1_00070	OM037668.1_00013
OG0000022	OK042108.1_00042	OM037668.1_00127
OG0000023	OK042108.1_00033	OM037668.1_00113
OG0000024	OK042108.1_00050	OM037668.1_00064
OG0000025	OK042108.1_00012	OM037668.1_00024
OG0000026	OK042108.1_00089	OM037668.1_00074
OG0000027	OK042108.1_00111	OM037668.1_00087
OG0000028	OK042108.1_00030	OM037668.1_00110
OG0000029	OK042108.1_00015	OM037668.1_00095
OG0000030	OK042108.1_00074	OM037668.1_00030
OG0000032	OK042108.1_00118	OM037668.1_00019
OG0000033	OK042108.1_00110	OM037668.1_00086
OG0000034	OK042108.1_00075	OM037668.1_00028
OG0000035	OK042108.1_00064	OM037668.1_00051
OG0000036	OK042108.1_00063	OM037668.1_00005
OG0000037	OK042108.1_00058	OM037668.1_00046
OG0000038	OK042108.1_00057	OM037668.1_00045
OG0000039	OK042108.1_00054	OM037668.1_00040
OG0000040	OK042108.1_00053	OM037668.1_00048
OG0000041	OK042108.1_00045	OM037668.1_00003
OG0000042	OK042108.1_00041	OM037668.1_00122
OG0000043	OK042108.1_00028	OM037668.1_00106
OG0000044	OK042108.1_00027	OM037668.1_00105
OG0000045	OK042108.1_00022	OM037668.1_00100
OG0000046	OK042108.1_00021	OM037668.1_00099
OG0000047	OK042108.1_00019	OM037668.1_00097
OG0000048	OK042108.1_00018	OM037668.1_00085
OG0000049	OK042108.1_00016	OM037668.1_00096
OG0000050	OK042108.1_00121	OM037668.1_00020
OG0000051	OK042108.1_00117	OM037668.1_00018
OG0000052	OK042108.1_00116	OM037668.1_00130
OG0000053	OK042108.1_00105	OM037668.1_00081
OG0000054	OK042108.1_00103	OM037668.1_00032
OG0000055	OK042108.1_00100	OM037668.1_00033
OG0000056	OK042108.1_00088	OM037668.1_00075
OG0000057	OK042108.1_00083	OM037668.1_00079
OG0000058	OK042108.1_00081	OM037668.1_00134
OG0000059	OK042108.1_00073	OM037668.1_00031
OG0000060	OK042108.1_00066	OM037668.1_00054
OG0000061	OK042108.1_00059	OM037668.1_00047
OG0000062	OK042108.1_00108	OM037668.1_00083
OG0000096	OK042108.1_00079	OM037668.1_00091
OG0000114	OK042108.1_00056	OM037668.1_00042
OG0000116	OK042108.1_00023	OM037668.1_00101
OG0000118	OK042108.1_00107	OM037668.1_00082
