Orthogroup	OK042108.1	MF599468.1
OG0000000	OK042108.1_00047	MF599468.1_00057, MF599468.1_00056
OG0000001	OK042108.1_00068	MF599468.1_00163
OG0000002	OK042108.1_00069	MF599468.1_00152
OG0000003	OK042108.1_00062	MF599468.1_00011
OG0000004	OK042108.1_00087	MF599468.1_00092
OG0000005	OK042108.1_00104	MF599468.1_00154
OG0000006	OK042108.1_00001	MF599468.1_00010
OG0000007	OK042108.1_00109	MF599468.1_00174
OG0000008	OK042108.1_00048	MF599468.1_00030
OG0000009	OK042108.1_00085	MF599468.1_00075
OG0000011	OK042108.1_00013	MF599468.1_00149
OG0000012	OK042108.1_00055	MF599468.1_00112
OG0000013	OK042108.1_00020	MF599468.1_00033
OG0000014	OK042108.1_00077	MF599468.1_00122
OG0000015	OK042108.1_00076	MF599468.1_00009
OG0000016	OK042108.1_00112	MF599468.1_00046
OG0000017	OK042108.1_00044	MF599468.1_00035
OG0000018	OK042108.1_00092	MF599468.1_00117
OG0000019	OK042108.1_00113	MF599468.1_00106
OG0000020	OK042108.1_00046	MF599468.1_00090
OG0000021	OK042108.1_00070	MF599468.1_00116
OG0000022	OK042108.1_00042	MF599468.1_00071
OG0000023	OK042108.1_00033	MF599468.1_00171
OG0000026	OK042108.1_00089	MF599468.1_00039
OG0000047	OK042108.1_00019	MF599468.1_00013
OG0000069	OK042108.1_00101	MF599468.1_00131
