Orthogroup	OK042108.1	NC_005946.1
OG0000000	OK042108.1_00047	NC_005946.1_00010
OG0000001	OK042108.1_00068	NC_005946.1_00053
OG0000002	OK042108.1_00069	NC_005946.1_00091
OG0000003	OK042108.1_00062	NC_005946.1_00057
OG0000004	OK042108.1_00087	NC_005946.1_00028
OG0000005	OK042108.1_00104	NC_005946.1_00014
OG0000006	OK042108.1_00001	NC_005946.1_00042
OG0000007	OK042108.1_00109	NC_005946.1_00002
OG0000008	OK042108.1_00048	NC_005946.1_00095
OG0000009	OK042108.1_00085	NC_005946.1_00092
OG0000011	OK042108.1_00013	NC_005946.1_00011
OG0000012	OK042108.1_00055	NC_005946.1_00060
OG0000013	OK042108.1_00020	NC_005946.1_00022
OG0000014	OK042108.1_00077	NC_005946.1_00016
OG0000015	OK042108.1_00076	NC_005946.1_00021
OG0000016	OK042108.1_00112	NC_005946.1_00082
OG0000017	OK042108.1_00044	NC_005946.1_00087
OG0000018	OK042108.1_00092	NC_005946.1_00023
OG0000019	OK042108.1_00113	NC_005946.1_00094
OG0000020	OK042108.1_00046	NC_005946.1_00083
OG0000021	OK042108.1_00070	NC_005946.1_00038
OG0000022	OK042108.1_00042	NC_005946.1_00061
OG0000023	OK042108.1_00033	NC_005946.1_00089
OG0000024	OK042108.1_00050	NC_005946.1_00067
OG0000026	OK042108.1_00089	NC_005946.1_00086
OG0000027	OK042108.1_00111	NC_005946.1_00049
OG0000028	OK042108.1_00030	NC_005946.1_00085
OG0000112	OK042108.1_00119	NC_005946.1_00006
