Orthogroup	MT521409.1	KF938901.1
OG0000000	MT521409.1_00103	KF938901.1_00126
OG0000001	MT521409.1_00082	KF938901.1_00080
OG0000002	MT521409.1_00081	KF938901.1_00044
OG0000003	MT521409.1_00088	KF938901.1_00005
OG0000004	MT521409.1_00061	KF938901.1_00043
OG0000005	MT521409.1_00057	KF938901.1_00125
OG0000006	MT521409.1_00117	KF938901.1_00072
OG0000007	MT521409.1_00053	KF938901.1_00053
OG0000008	MT521409.1_00100	KF938901.1_00067
OG0000009	MT521409.1_00060	KF938901.1_00114
OG0000011	MT521409.1_00129	KF938901.1_00092
OG0000012	MT521409.1_00097	KF938901.1_00054
OG0000013	MT521409.1_00039	KF938901.1_00060
OG0000014	MT521409.1_00059	KF938901.1_00074
OG0000015	MT521409.1_00134	KF938901.1_00095
OG0000016	MT521409.1_00048	KF938901.1_00046
OG0000017	MT521409.1_00011	KF938901.1_00123
OG0000018	MT521409.1_00064	KF938901.1_00025
OG0000019	MT521409.1_00047	KF938901.1_00012
OG0000020	MT521409.1_00012	KF938901.1_00047
OG0000021	MT521409.1_00125	KF938901.1_00124
OG0000022	MT521409.1_00008	KF938901.1_00023
OG0000023	MT521409.1_00024	KF938901.1_00031
OG0000024	MT521409.1_00074	KF938901.1_00094
OG0000025	MT521409.1_00114	KF938901.1_00093
OG0000139	MT521409.1_00070	KF938901.1_00108
