Orthogroup	MT521409.1	MN562489.1
OG0000000	MT521409.1_00103	MN562489.1_00102
OG0000001	MT521409.1_00082	MN562489.1_00081
OG0000002	MT521409.1_00081	MN562489.1_00080
OG0000003	MT521409.1_00088	MN562489.1_00087
OG0000004	MT521409.1_00061	MN562489.1_00060
OG0000005	MT521409.1_00057	MN562489.1_00056
OG0000006	MT521409.1_00117	MN562489.1_00116
OG0000007	MT521409.1_00053	MN562489.1_00052
OG0000008	MT521409.1_00100	MN562489.1_00099
OG0000009	MT521409.1_00060	MN562489.1_00059
OG0000010	MT521409.1_00002	MN562489.1_00002
OG0000010	MT521409.1_00010	MN562489.1_00010
OG0000010	MT521409.1_00132	MN562489.1_00131
OG0000011	MT521409.1_00129	MN562489.1_00128
OG0000012	MT521409.1_00097	MN562489.1_00096
OG0000013	MT521409.1_00039	MN562489.1_00038
OG0000014	MT521409.1_00059	MN562489.1_00058
OG0000015	MT521409.1_00134	MN562489.1_00133
OG0000016	MT521409.1_00048	MN562489.1_00047
OG0000017	MT521409.1_00011	MN562489.1_00011
OG0000018	MT521409.1_00064	MN562489.1_00063
OG0000019	MT521409.1_00047	MN562489.1_00046
OG0000020	MT521409.1_00012	MN562489.1_00012
OG0000021	MT521409.1_00125	MN562489.1_00124
OG0000022	MT521409.1_00008	MN562489.1_00008
OG0000023	MT521409.1_00024	MN562489.1_00023
OG0000024	MT521409.1_00074	MN562489.1_00073
OG0000025	MT521409.1_00114	MN562489.1_00113
OG0000026	MT521409.1_00063	MN562489.1_00062
OG0000027	MT521409.1_00050	MN562489.1_00049
OG0000028	MT521409.1_00027	MN562489.1_00026
OG0000029	MT521409.1_00042	MN562489.1_00041
OG0000030	MT521409.1_00108	MN562489.1_00107
OG0000031	MT521409.1_00127	MN562489.1_00126
OG0000032	MT521409.1_00119	MN562489.1_00118
OG0000033	MT521409.1_00051	MN562489.1_00050
OG0000034	MT521409.1_00110	MN562489.1_00109
OG0000035	MT521409.1_00087	MN562489.1_00086
OG0000036	MT521409.1_00133	MN562489.1_00132
OG0000037	MT521409.1_00092	MN562489.1_00091
OG0000038	MT521409.1_00093	MN562489.1_00092
OG0000039	MT521409.1_00098	MN562489.1_00097
OG0000040	MT521409.1_00090	MN562489.1_00089
OG0000041	MT521409.1_00135	MN562489.1_00134
OG0000042	MT521409.1_00013	MN562489.1_00013
OG0000043	MT521409.1_00031	MN562489.1_00030
OG0000044	MT521409.1_00032	MN562489.1_00031
OG0000045	MT521409.1_00037	MN562489.1_00036
OG0000046	MT521409.1_00038	MN562489.1_00037
OG0000047	MT521409.1_00040	MN562489.1_00039
OG0000048	MT521409.1_00052	MN562489.1_00051
OG0000049	MT521409.1_00041	MN562489.1_00040
OG0000050	MT521409.1_00118	MN562489.1_00117
OG0000051	MT521409.1_00120	MN562489.1_00119
OG0000052	MT521409.1_00005	MN562489.1_00005
OG0000053	MT521409.1_00056	MN562489.1_00055
OG0000054	MT521409.1_00106	MN562489.1_00105
OG0000055	MT521409.1_00105	MN562489.1_00104
OG0000056	MT521409.1_00062	MN562489.1_00061
OG0000057	MT521409.1_00058	MN562489.1_00057
OG0000058	MT521409.1_00001	MN562489.1_00001
OG0000059	MT521409.1_00107	MN562489.1_00106
OG0000060	MT521409.1_00084	MN562489.1_00083
OG0000061	MT521409.1_00091	MN562489.1_00090
OG0000062	MT521409.1_00054	MN562489.1_00053
OG0000096	MT521409.1_00046	MN562489.1_00045
OG0000114	MT521409.1_00096	MN562489.1_00095
OG0000115	MT521409.1_00085	MN562489.1_00084
OG0000116	MT521409.1_00036	MN562489.1_00035
OG0000118	MT521409.1_00055	MN562489.1_00054
OG0000128	MT521409.1_00004	MN562489.1_00004
OG0000128	MT521409.1_00072	MN562489.1_00071
OG0000128	MT521409.1_00003	MN562489.1_00003
OG0000129	MT521409.1_00076	MN562489.1_00075
OG0000139	MT521409.1_00070	MN562489.1_00069
OG0000141	MT521409.1_00009	MN562489.1_00009
OG0000141	MT521409.1_00071	MN562489.1_00070
OG0000146	MT521409.1_00014	MN562489.1_00014
OG0000146	MT521409.1_00007	MN562489.1_00007
OG0000147	MT521409.1_00123	MN562489.1_00122
OG0000147	MT521409.1_00067	MN562489.1_00066
OG0000151	MT521409.1_00137	MN562489.1_00136
OG0000161	MT521409.1_00102	MN562489.1_00101
OG0000164	MT521409.1_00116	MN562489.1_00115
OG0000173	MT521409.1_00115	MN562489.1_00114
OG0000211	MT521409.1_00121	MN562489.1_00120
OG0000212	MT521409.1_00049	MN562489.1_00048
OG0000213	MT521409.1_00075	MN562489.1_00074
OG0000242	MT521409.1_00006	MN562489.1_00006
OG0000243	MT521409.1_00022	MN562489.1_00021
OG0000244	MT521409.1_00025	MN562489.1_00024
OG0000245	MT521409.1_00026	MN562489.1_00025
OG0000246	MT521409.1_00028	MN562489.1_00027
OG0000247	MT521409.1_00029	MN562489.1_00028
OG0000248	MT521409.1_00030	MN562489.1_00029
OG0000249	MT521409.1_00033	MN562489.1_00032
OG0000250	MT521409.1_00034	MN562489.1_00033
OG0000251	MT521409.1_00035	MN562489.1_00034
OG0000252	MT521409.1_00043	MN562489.1_00042
OG0000253	MT521409.1_00044	MN562489.1_00043
OG0000254	MT521409.1_00045	MN562489.1_00044
OG0000255	MT521409.1_00066	MN562489.1_00065
OG0000256	MT521409.1_00068	MN562489.1_00067
OG0000257	MT521409.1_00069	MN562489.1_00068
OG0000258	MT521409.1_00073	MN562489.1_00072
OG0000259	MT521409.1_00077	MN562489.1_00076
OG0000260	MT521409.1_00078	MN562489.1_00077
OG0000261	MT521409.1_00079	MN562489.1_00078
OG0000262	MT521409.1_00080	MN562489.1_00079
OG0000263	MT521409.1_00083	MN562489.1_00082
OG0000264	MT521409.1_00086	MN562489.1_00085
OG0000265	MT521409.1_00089	MN562489.1_00088
OG0000266	MT521409.1_00094	MN562489.1_00093
OG0000267	MT521409.1_00099	MN562489.1_00098
OG0000268	MT521409.1_00101	MN562489.1_00100
OG0000269	MT521409.1_00104	MN562489.1_00103
OG0000270	MT521409.1_00109	MN562489.1_00108
OG0000271	MT521409.1_00111	MN562489.1_00110
OG0000272	MT521409.1_00112	MN562489.1_00111
OG0000273	MT521409.1_00113	MN562489.1_00112
OG0000274	MT521409.1_00122	MN562489.1_00121
OG0000275	MT521409.1_00124	MN562489.1_00123
OG0000276	MT521409.1_00126	MN562489.1_00125
OG0000277	MT521409.1_00128	MN562489.1_00127
OG0000278	MT521409.1_00130	MN562489.1_00129
OG0000279	MT521409.1_00131	MN562489.1_00130
OG0000280	MT521409.1_00136	MN562489.1_00135
OG0000302	MT521409.1_00015	MN562489.1_00015
OG0000303	MT521409.1_00016	MN562489.1_00016
OG0000304	MT521409.1_00017	MN562489.1_00017
OG0000305	MT521409.1_00018	MN562489.1_00018
OG0000306	MT521409.1_00019	MN562489.1_00019
OG0000307	MT521409.1_00020	MN562489.1_00020
OG0000308	MT521409.1_00023	MN562489.1_00022
OG0000309	MT521409.1_00065	MN562489.1_00064
