Orthogroup	MT521409.1	MN803438.1
OG0000000	MT521409.1_00103	MN803438.1_00124
OG0000001	MT521409.1_00082	MN803438.1_00101, MN803438.1_00056
OG0000002	MT521409.1_00081	MN803438.1_00023
OG0000003	MT521409.1_00088	MN803438.1_00113
OG0000004	MT521409.1_00061	MN803438.1_00104
OG0000005	MT521409.1_00057	MN803438.1_00071
OG0000006	MT521409.1_00117	MN803438.1_00142
OG0000007	MT521409.1_00053	MN803438.1_00027
OG0000008	MT521409.1_00100	MN803438.1_00106
OG0000009	MT521409.1_00060	MN803438.1_00109
OG0000011	MT521409.1_00129	MN803438.1_00049
OG0000012	MT521409.1_00097	MN803438.1_00128
OG0000013	MT521409.1_00039	MN803438.1_00007
OG0000014	MT521409.1_00059	MN803438.1_00070
OG0000015	MT521409.1_00134	MN803438.1_00046
OG0000016	MT521409.1_00048	MN803438.1_00122
OG0000017	MT521409.1_00011	MN803438.1_00035
OG0000018	MT521409.1_00064	MN803438.1_00051
OG0000019	MT521409.1_00047	MN803438.1_00097
OG0000020	MT521409.1_00012	MN803438.1_00068
OG0000021	MT521409.1_00125	MN803438.1_00089
OG0000022	MT521409.1_00008	MN803438.1_00013
OG0000023	MT521409.1_00024	MN803438.1_00077
OG0000024	MT521409.1_00074	MN803438.1_00024
OG0000026	MT521409.1_00063	MN803438.1_00126
OG0000027	MT521409.1_00050	MN803438.1_00037
OG0000028	MT521409.1_00027	MN803438.1_00054
OG0000031	MT521409.1_00127	MN803438.1_00145
OG0000129	MT521409.1_00076	MN803438.1_00082
OG0000139	MT521409.1_00070	MN803438.1_00005
OG0000147	MT521409.1_00123, MT521409.1_00067	MN803438.1_00022
OG0000151	MT521409.1_00137	MN803438.1_00010
OG0000161	MT521409.1_00102	MN803438.1_00011, MN803438.1_00096
OG0000212	MT521409.1_00049	MN803438.1_00130
