Orthogroup	MT521409.1	AF303741.1
OG0000000	MT521409.1_00103	AF303741.1_00079, AF303741.1_00152
OG0000001	MT521409.1_00082	AF303741.1_00200, AF303741.1_00047
OG0000002	MT521409.1_00081	AF303741.1_00125
OG0000003	MT521409.1_00088	AF303741.1_00035
OG0000004	MT521409.1_00061	AF303741.1_00080
OG0000005	MT521409.1_00057	AF303741.1_00129
OG0000006	MT521409.1_00117	AF303741.1_00132
OG0000007	MT521409.1_00053	AF303741.1_00149
OG0000008	MT521409.1_00100	AF303741.1_00165
OG0000009	MT521409.1_00060	AF303741.1_00176
OG0000011	MT521409.1_00129	AF303741.1_00006
OG0000012	MT521409.1_00097	AF303741.1_00011
OG0000013	MT521409.1_00039	AF303741.1_00023
OG0000014	MT521409.1_00059	AF303741.1_00026
OG0000015	MT521409.1_00134	AF303741.1_00046
OG0000016	MT521409.1_00048	AF303741.1_00062
OG0000017	MT521409.1_00011	AF303741.1_00063
OG0000018	MT521409.1_00064	AF303741.1_00081
OG0000019	MT521409.1_00047	AF303741.1_00137
OG0000020	MT521409.1_00012	AF303741.1_00156
OG0000021	MT521409.1_00125	AF303741.1_00158
OG0000022	MT521409.1_00008	AF303741.1_00189
OG0000023	MT521409.1_00024	AF303741.1_00154
OG0000024	MT521409.1_00074	AF303741.1_00168
OG0000025	MT521409.1_00114	AF303741.1_00051
OG0000139	MT521409.1_00070	AF303741.1_00101
OG0000164	MT521409.1_00116	AF303741.1_00009
OG0000173	MT521409.1_00115	AF303741.1_00117
