Orthogroup	MT521409.1	HF920637.1
OG0000000	MT521409.1_00103	HF920637.1_00129, HF920637.1_00164
OG0000001	MT521409.1_00082	HF920637.1_00059
OG0000002	MT521409.1_00081	HF920637.1_00143
OG0000003	MT521409.1_00088	HF920637.1_00159
OG0000004	MT521409.1_00061	HF920637.1_00025
OG0000005	MT521409.1_00057	HF920637.1_00221
OG0000006	MT521409.1_00117	HF920637.1_00121
OG0000007	MT521409.1_00053	HF920637.1_00172
OG0000008	MT521409.1_00100	HF920637.1_00176, HF920637.1_00175
OG0000009	MT521409.1_00060	HF920637.1_00153
OG0000011	MT521409.1_00129	HF920637.1_00217
OG0000012	MT521409.1_00097	HF920637.1_00001
OG0000013	MT521409.1_00039	HF920637.1_00017
OG0000014	MT521409.1_00059	HF920637.1_00108
OG0000015	MT521409.1_00134	HF920637.1_00152
OG0000016	MT521409.1_00048	HF920637.1_00079
OG0000017	MT521409.1_00011	HF920637.1_00073
OG0000018	MT521409.1_00064	HF920637.1_00111
OG0000019	MT521409.1_00047	HF920637.1_00197
OG0000020	MT521409.1_00012	HF920637.1_00031
OG0000021	MT521409.1_00125	HF920637.1_00041
OG0000022	MT521409.1_00008	HF920637.1_00213
OG0000023	MT521409.1_00024	HF920637.1_00033
OG0000024	MT521409.1_00074	HF920637.1_00061
OG0000025	MT521409.1_00114	HF920637.1_00156
OG0000031	MT521409.1_00127	HF920637.1_00127
OG0000139	MT521409.1_00070	HF920637.1_00123
OG0000164	MT521409.1_00116	HF920637.1_00013
