Orthogroup	MT521409.1	NC_005946.1
OG0000000	MT521409.1_00103	NC_005946.1_00010
OG0000001	MT521409.1_00082	NC_005946.1_00053
OG0000002	MT521409.1_00081	NC_005946.1_00091
OG0000003	MT521409.1_00088	NC_005946.1_00057
OG0000004	MT521409.1_00061	NC_005946.1_00028
OG0000005	MT521409.1_00057	NC_005946.1_00014
OG0000006	MT521409.1_00117	NC_005946.1_00042
OG0000007	MT521409.1_00053	NC_005946.1_00002
OG0000008	MT521409.1_00100	NC_005946.1_00095
OG0000009	MT521409.1_00060	NC_005946.1_00092
OG0000011	MT521409.1_00129	NC_005946.1_00011
OG0000012	MT521409.1_00097	NC_005946.1_00060
OG0000013	MT521409.1_00039	NC_005946.1_00022
OG0000014	MT521409.1_00059	NC_005946.1_00016
OG0000015	MT521409.1_00134	NC_005946.1_00021
OG0000016	MT521409.1_00048	NC_005946.1_00082
OG0000017	MT521409.1_00011	NC_005946.1_00087
OG0000018	MT521409.1_00064	NC_005946.1_00023
OG0000019	MT521409.1_00047	NC_005946.1_00094
OG0000020	MT521409.1_00012	NC_005946.1_00083
OG0000021	MT521409.1_00125	NC_005946.1_00038
OG0000022	MT521409.1_00008	NC_005946.1_00061
OG0000023	MT521409.1_00024	NC_005946.1_00089
OG0000024	MT521409.1_00074	NC_005946.1_00067
OG0000026	MT521409.1_00063	NC_005946.1_00086
OG0000027	MT521409.1_00050	NC_005946.1_00049
OG0000028	MT521409.1_00027	NC_005946.1_00085
OG0000151	MT521409.1_00137	NC_005946.1_00052
OG0000213	MT521409.1_00075	NC_005946.1_00007
