Orthogroup	MT521409.1	AY521625.1
OG0000000	MT521409.1_00103	AY521625.1_00091
OG0000001	MT521409.1_00082	AY521625.1_00077
OG0000002	MT521409.1_00081	AY521625.1_00064
OG0000003	MT521409.1_00088	AY521625.1_00130
OG0000004	MT521409.1_00061	AY521625.1_00069, AY521625.1_00070
OG0000005	MT521409.1_00057	AY521625.1_00100
OG0000006	MT521409.1_00117	AY521625.1_00051
OG0000007	MT521409.1_00053	AY521625.1_00016
OG0000008	MT521409.1_00100	AY521625.1_00085
OG0000009	MT521409.1_00060	AY521625.1_00142
OG0000011	MT521409.1_00129	AY521625.1_00053
OG0000012	MT521409.1_00097	AY521625.1_00110
OG0000013	MT521409.1_00039	AY521625.1_00048
OG0000014	MT521409.1_00059	AY521625.1_00115
OG0000015	MT521409.1_00134	AY521625.1_00035
OG0000016	MT521409.1_00048	AY521625.1_00073
OG0000017	MT521409.1_00011	AY521625.1_00059
OG0000018	MT521409.1_00064	AY521625.1_00047
OG0000019	MT521409.1_00047	AY521625.1_00086
OG0000020	MT521409.1_00012	AY521625.1_00074
OG0000021	MT521409.1_00125	AY521625.1_00054
OG0000022	MT521409.1_00008	AY521625.1_00065
OG0000023	MT521409.1_00024	AY521625.1_00062
OG0000024	MT521409.1_00074	AY521625.1_00042
OG0000026	MT521409.1_00063	AY521625.1_00060
OG0000027	MT521409.1_00050	AY521625.1_00022
OG0000030	MT521409.1_00108	AY521625.1_00004
OG0000141	MT521409.1_00009, MT521409.1_00071	AY521625.1_00046
OG0000151	MT521409.1_00137	AY521625.1_00002
