Orthogroup	MK098187.1	MF599468.1
OG0000000	MK098187.1_00033	MF599468.1_00057, MF599468.1_00056
OG0000001	MK098187.1_00007	MF599468.1_00152
OG0000003	MK098187.1_00008	MF599468.1_00163
OG0000004	MK098187.1_00015	MF599468.1_00011
OG0000005	MK098187.1_00032	MF599468.1_00030
OG0000006	MK098187.1_00076	MF599468.1_00010
OG0000007	MK098187.1_00090	MF599468.1_00174
OG0000008	MK098187.1_00112	MF599468.1_00092
OG0000009	MK098187.1_00114	MF599468.1_00075
OG0000010	MK098187.1_00005	MF599468.1_00116
OG0000011	MK098187.1_00022	MF599468.1_00112
OG0000012	MK098187.1_00034	MF599468.1_00090
OG0000013	MK098187.1_00036	MF599468.1_00035
OG0000014	MK098187.1_00038	MF599468.1_00071
OG0000015	MK098187.1_00058	MF599468.1_00033
OG0000016	MK098187.1_00064	MF599468.1_00149
OG0000017	MK098187.1_00086	MF599468.1_00106
OG0000018	MK098187.1_00087	MF599468.1_00046
OG0000019	MK098187.1_00107	MF599468.1_00117
OG0000020	MK098187.1_00122	MF599468.1_00122
OG0000021	MK098187.1_00123	MF599468.1_00009
OG0000022	MK098187.1_00047	MF599468.1_00171
OG0000023	MK098187.1_00095	MF599468.1_00154
OG0000024	MK098187.1_00110	MF599468.1_00039
OG0000046	MK098187.1_00059	MF599468.1_00013
OG0000069	MK098187.1_00098	MF599468.1_00131
