Orthogroup	HF920633	GQ273492
OG0000000	HF920633.1_00044 hypothetical protein	GQ273492.1_00030 hypothetical protein
OG0000001	HF920633.1_00127 hypothetical protein	GQ273492.1_00015 hypothetical protein
OG0000002	HF920633.1_00069 hypothetical protein	GQ273492.1_00008 hypothetical protein
OG0000003	HF920633.1_00043 hypothetical protein	GQ273492.1_00029 hypothetical protein
OG0000004	HF920633.1_00122 hypothetical protein	GQ273492.1_00110 hypothetical protein
OG0000005	HF920633.1_00118 hypothetical protein	GQ273492.1_00063 hypothetical protein
OG0000006	HF920633.1_00001 hypothetical protein	GQ273492.1_00022 hypothetical protein
OG0000007	HF920633.1_00067 hypothetical protein	GQ273492.1_00056 hypothetical protein
OG0000008	HF920633.1_00138 hypothetical protein	GQ273492.1_00118 hypothetical protein
OG0000009	HF920633.1_00058 hypothetical protein	GQ273492.1_00119 hypothetical protein
OG0000010	HF920633.1_00158 hypothetical protein	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase
OG0000011	HF920633.1_00003 hypothetical protein	GQ273492.1_00103 hypothetical protein
OG0000012	HF920633.1_00073 Major capsid protein	GQ273492.1_00007 Major capsid protein
OG0000013	HF920633.1_00163 hypothetical protein	GQ273492.1_00083 hypothetical protein
OG0000014	HF920633.1_00091 hypothetical protein	GQ273492.1_00087 hypothetical protein
OG0000015	HF920633.1_00080 hypothetical protein	GQ273492.1_00031 hypothetical protein
OG0000016	HF920633.1_00097 hypothetical protein	GQ273492.1_00005 hypothetical protein
OG0000017	HF920633.1_00175 DNA-directed RNA polymerase subunit 2	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein
OG0000018	HF920633.1_00094 hypothetical protein	GQ273492.1_00084 hypothetical protein
OG0000019	HF920633.1_00079 hypothetical protein	GQ273492.1_00108 hypothetical protein
OG0000020	HF920633.1_00085 hypothetical protein	GQ273492.1_00092 hypothetical protein
OG0000021	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000022	HF920633.1_00017 hypothetical protein	GQ273492.1_00044 hypothetical protein
OG0000023	HF920633.1_00025 hypothetical protein	GQ273492.1_00073 hypothetical protein
OG0000026	HF920633.1_00047 hypothetical protein	GQ273492.1_00064 hypothetical protein
