Orthogroup	MT926123.1	L63545.1
OG0000000	MT926123.1_00032	L63545.1_00007
OG0000001	MT926123.1_00007	L63545.1_00079
OG0000003	MT926123.1_00008	L63545.1_00035
OG0000004	MT926123.1_00015	L63545.1_00076
OG0000005	MT926123.1_00031	L63545.1_00108
OG0000006	MT926123.1_00079	L63545.1_00093
OG0000007	MT926123.1_00093	L63545.1_00090
OG0000008	MT926123.1_00112	L63545.1_00001
OG0000009	MT926123.1_00113	L63545.1_00024
OG0000010	MT926123.1_00005	L63545.1_00043
OG0000011	MT926123.1_00022	L63545.1_00071
OG0000012	MT926123.1_00033	L63545.1_00098
OG0000013	MT926123.1_00035	L63545.1_00072
OG0000014	MT926123.1_00037	L63545.1_00013
OG0000015	MT926123.1_00058	L63545.1_00004
OG0000016	MT926123.1_00065	L63545.1_00069
OG0000017	MT926123.1_00089	L63545.1_00009
OG0000018	MT926123.1_00090	L63545.1_00073
OG0000019	MT926123.1_00107	L63545.1_00068
OG0000020	MT926123.1_00120	L63545.1_00030
OG0000021	MT926123.1_00121	L63545.1_00110
OG0000022	MT926123.1_00046	L63545.1_00054
OG0000023	MT926123.1_00096	L63545.1_00056
OG0000024	MT926123.1_00110	L63545.1_00002
OG0000026	MT926123.1_00091	L63545.1_00058
OG0000027	MT926123.1_00049	L63545.1_00003
