Orthogroup	MT926123.1	KF938901.1
OG0000000	MT926123.1_00032	KF938901.1_00126
OG0000001	MT926123.1_00007	KF938901.1_00044
OG0000003	MT926123.1_00008	KF938901.1_00080
OG0000004	MT926123.1_00015	KF938901.1_00005
OG0000005	MT926123.1_00031	KF938901.1_00067
OG0000006	MT926123.1_00079	KF938901.1_00072
OG0000007	MT926123.1_00093	KF938901.1_00053
OG0000008	MT926123.1_00112	KF938901.1_00043
OG0000009	MT926123.1_00113	KF938901.1_00114
OG0000010	MT926123.1_00005	KF938901.1_00124
OG0000011	MT926123.1_00022	KF938901.1_00054
OG0000012	MT926123.1_00033	KF938901.1_00047
OG0000013	MT926123.1_00035	KF938901.1_00123
OG0000014	MT926123.1_00037	KF938901.1_00023
OG0000015	MT926123.1_00058	KF938901.1_00060
OG0000016	MT926123.1_00065	KF938901.1_00092
OG0000017	MT926123.1_00089	KF938901.1_00012
OG0000018	MT926123.1_00090	KF938901.1_00046
OG0000019	MT926123.1_00107	KF938901.1_00025
OG0000020	MT926123.1_00120	KF938901.1_00074
OG0000021	MT926123.1_00121	KF938901.1_00095
OG0000022	MT926123.1_00046	KF938901.1_00031
OG0000025	MT926123.1_00066	KF938901.1_00093
