Orthogroup	AY779031.1	MT521409.1
OG0000000	AY779031.1_00034	MT521409.1_00103
OG0000001	AY779031.1_00007	MT521409.1_00081
OG0000002	AY779031.1_00085	MT521409.1_00002, MT521409.1_00010, MT521409.1_00132
OG0000003	AY779031.1_00008	MT521409.1_00082
OG0000004	AY779031.1_00015, AY779031.1_00016	MT521409.1_00088
OG0000005	AY779031.1_00033	MT521409.1_00100
OG0000006	AY779031.1_00083	MT521409.1_00117
OG0000007	AY779031.1_00098	MT521409.1_00053
OG0000008	AY779031.1_00121	MT521409.1_00061
OG0000009	AY779031.1_00122	MT521409.1_00060
OG0000010	AY779031.1_00005	MT521409.1_00125
OG0000011	AY779031.1_00023	MT521409.1_00097
OG0000012	AY779031.1_00035	MT521409.1_00012
OG0000013	AY779031.1_00037	MT521409.1_00011
OG0000014	AY779031.1_00039	MT521409.1_00008
OG0000015	AY779031.1_00061	MT521409.1_00039
OG0000016	AY779031.1_00068	MT521409.1_00129
OG0000017	AY779031.1_00094	MT521409.1_00047
OG0000018	AY779031.1_00095	MT521409.1_00048
OG0000019	AY779031.1_00116	MT521409.1_00064
OG0000020	AY779031.1_00129	MT521409.1_00059
OG0000021	AY779031.1_00130	MT521409.1_00134
OG0000022	AY779031.1_00049	MT521409.1_00024
OG0000023	AY779031.1_00103	MT521409.1_00057
OG0000024	AY779031.1_00119	MT521409.1_00063
OG0000025	AY779031.1_00069	MT521409.1_00114
OG0000026	AY779031.1_00096	MT521409.1_00050
OG0000027	AY779031.1_00052	MT521409.1_00027
OG0000028	AY779031.1_00006	MT521409.1_00127
OG0000029	AY779031.1_00066	MT521409.1_00042
OG0000030	AY779031.1_00001	MT521409.1_00108
OG0000031	AY779031.1_00089	MT521409.1_00119
OG0000032	AY779031.1_00097	MT521409.1_00051
OG0000033	AY779031.1_00131	MT521409.1_00110
OG0000034	AY779031.1_00013	MT521409.1_00087
OG0000035	AY779031.1_00014	MT521409.1_00133
OG0000036	AY779031.1_00019	MT521409.1_00092
OG0000037	AY779031.1_00020	MT521409.1_00093
OG0000038	AY779031.1_00024	MT521409.1_00098
OG0000039	AY779031.1_00025	MT521409.1_00090
OG0000040	AY779031.1_00036	MT521409.1_00135
OG0000041	AY779031.1_00040	MT521409.1_00013
OG0000042	AY779031.1_00053	MT521409.1_00031
OG0000043	AY779031.1_00054	MT521409.1_00032
OG0000044	AY779031.1_00059	MT521409.1_00037
OG0000045	AY779031.1_00060	MT521409.1_00038
OG0000046	AY779031.1_00062	MT521409.1_00040
OG0000047	AY779031.1_00063	MT521409.1_00052
OG0000048	AY779031.1_00065	MT521409.1_00041
OG0000049	AY779031.1_00086	MT521409.1_00118
OG0000050	AY779031.1_00090	MT521409.1_00120
OG0000051	AY779031.1_00091	MT521409.1_00005
OG0000052	AY779031.1_00102	MT521409.1_00056
OG0000053	AY779031.1_00104	MT521409.1_00106
OG0000054	AY779031.1_00107	MT521409.1_00105
OG0000055	AY779031.1_00120	MT521409.1_00062
OG0000056	AY779031.1_00125	MT521409.1_00058
OG0000057	AY779031.1_00127	MT521409.1_00001
OG0000058	AY779031.1_00002	MT521409.1_00107
OG0000059	AY779031.1_00010	MT521409.1_00084
OG0000061	AY779031.1_00099	MT521409.1_00054
OG0000113	AY779031.1_00022	MT521409.1_00096
OG0000114	AY779031.1_00011	MT521409.1_00085
OG0000117	AY779031.1_00100	MT521409.1_00055
