Orthogroup	AY779031.1	MF599468.1
OG0000000	AY779031.1_00034	MF599468.1_00057, MF599468.1_00056
OG0000001	AY779031.1_00007	MF599468.1_00152
OG0000003	AY779031.1_00008	MF599468.1_00163
OG0000004	AY779031.1_00015, AY779031.1_00016	MF599468.1_00011
OG0000005	AY779031.1_00033	MF599468.1_00030
OG0000006	AY779031.1_00083	MF599468.1_00010
OG0000007	AY779031.1_00098	MF599468.1_00174
OG0000008	AY779031.1_00121	MF599468.1_00092
OG0000009	AY779031.1_00122	MF599468.1_00075
OG0000010	AY779031.1_00005	MF599468.1_00116
OG0000011	AY779031.1_00023	MF599468.1_00112
OG0000012	AY779031.1_00035	MF599468.1_00090
OG0000013	AY779031.1_00037	MF599468.1_00035
OG0000014	AY779031.1_00039	MF599468.1_00071
OG0000015	AY779031.1_00061	MF599468.1_00033
OG0000016	AY779031.1_00068	MF599468.1_00149
OG0000017	AY779031.1_00094	MF599468.1_00106
OG0000018	AY779031.1_00095	MF599468.1_00046
OG0000019	AY779031.1_00116	MF599468.1_00117
OG0000020	AY779031.1_00129	MF599468.1_00122
OG0000021	AY779031.1_00130	MF599468.1_00009
OG0000022	AY779031.1_00049	MF599468.1_00171
OG0000023	AY779031.1_00103	MF599468.1_00154
OG0000024	AY779031.1_00119	MF599468.1_00039
OG0000046	AY779031.1_00062	MF599468.1_00013
OG0000069	AY779031.1_00106	MF599468.1_00131
