Orthogroup	AY779031.1	NC_005946.1
OG0000000	AY779031.1_00034	NC_005946.1_00010
OG0000001	AY779031.1_00007	NC_005946.1_00091
OG0000003	AY779031.1_00008	NC_005946.1_00053
OG0000004	AY779031.1_00015, AY779031.1_00016	NC_005946.1_00057
OG0000005	AY779031.1_00033	NC_005946.1_00095
OG0000006	AY779031.1_00083	NC_005946.1_00042
OG0000007	AY779031.1_00098	NC_005946.1_00002
OG0000008	AY779031.1_00121	NC_005946.1_00028
OG0000009	AY779031.1_00122	NC_005946.1_00092
OG0000010	AY779031.1_00005	NC_005946.1_00038
OG0000011	AY779031.1_00023	NC_005946.1_00060
OG0000012	AY779031.1_00035	NC_005946.1_00083
OG0000013	AY779031.1_00037	NC_005946.1_00087
OG0000014	AY779031.1_00039	NC_005946.1_00061
OG0000015	AY779031.1_00061	NC_005946.1_00022
OG0000016	AY779031.1_00068	NC_005946.1_00011
OG0000017	AY779031.1_00094	NC_005946.1_00094
OG0000018	AY779031.1_00095	NC_005946.1_00082
OG0000019	AY779031.1_00116	NC_005946.1_00023
OG0000020	AY779031.1_00129	NC_005946.1_00016
OG0000021	AY779031.1_00130	NC_005946.1_00021
OG0000022	AY779031.1_00049	NC_005946.1_00089
OG0000023	AY779031.1_00103	NC_005946.1_00014
OG0000024	AY779031.1_00119	NC_005946.1_00086
OG0000026	AY779031.1_00096	NC_005946.1_00049
OG0000027	AY779031.1_00052	NC_005946.1_00085
OG0000112	AY779031.1_00088	NC_005946.1_00006
