Orthogroup	AY779031.1	OM037668.1
OG0000000	AY779031.1_00034	OM037668.1_00035
OG0000001	AY779031.1_00007	OM037668.1_00057
OG0000002	AY779031.1_00085	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000003	AY779031.1_00008	OM037668.1_00056
OG0000004	AY779031.1_00015, AY779031.1_00016	OM037668.1_00050
OG0000005	AY779031.1_00033	OM037668.1_00038
OG0000006	AY779031.1_00083	OM037668.1_00021
OG0000007	AY779031.1_00098	OM037668.1_00084
OG0000008	AY779031.1_00121	OM037668.1_00076
OG0000009	AY779031.1_00122	OM037668.1_00077
OG0000010	AY779031.1_00005	OM037668.1_00013
OG0000011	AY779031.1_00023	OM037668.1_00041
OG0000012	AY779031.1_00035	OM037668.1_00123
OG0000013	AY779031.1_00037	OM037668.1_00124
OG0000014	AY779031.1_00039	OM037668.1_00127
OG0000015	AY779031.1_00061	OM037668.1_00098
OG0000016	AY779031.1_00068	OM037668.1_00009
OG0000017	AY779031.1_00094	OM037668.1_00090
OG0000018	AY779031.1_00095	OM037668.1_00089
OG0000019	AY779031.1_00116	OM037668.1_00073
OG0000020	AY779031.1_00129	OM037668.1_00078
OG0000021	AY779031.1_00130	OM037668.1_00004
OG0000022	AY779031.1_00049	OM037668.1_00113
OG0000023	AY779031.1_00103	OM037668.1_00080
OG0000024	AY779031.1_00119	OM037668.1_00074
OG0000025	AY779031.1_00069	OM037668.1_00024
OG0000026	AY779031.1_00096	OM037668.1_00087
OG0000027	AY779031.1_00052	OM037668.1_00110
OG0000028	AY779031.1_00006	OM037668.1_00011
OG0000029	AY779031.1_00066	OM037668.1_00095
OG0000030	AY779031.1_00001	OM037668.1_00030
OG0000031	AY779031.1_00089	OM037668.1_00019
OG0000032	AY779031.1_00097	OM037668.1_00086
OG0000033	AY779031.1_00131	OM037668.1_00028
OG0000034	AY779031.1_00013	OM037668.1_00051
OG0000035	AY779031.1_00014	OM037668.1_00005
OG0000036	AY779031.1_00019	OM037668.1_00046
OG0000037	AY779031.1_00020	OM037668.1_00045
OG0000038	AY779031.1_00024	OM037668.1_00040
OG0000039	AY779031.1_00025	OM037668.1_00048
OG0000040	AY779031.1_00036	OM037668.1_00003
OG0000041	AY779031.1_00040	OM037668.1_00122
OG0000042	AY779031.1_00053	OM037668.1_00106
OG0000043	AY779031.1_00054	OM037668.1_00105
OG0000044	AY779031.1_00059	OM037668.1_00100
OG0000045	AY779031.1_00060	OM037668.1_00099
OG0000046	AY779031.1_00062	OM037668.1_00097
OG0000047	AY779031.1_00063	OM037668.1_00085
OG0000048	AY779031.1_00065	OM037668.1_00096
OG0000049	AY779031.1_00086	OM037668.1_00020
OG0000050	AY779031.1_00090	OM037668.1_00018
OG0000051	AY779031.1_00091	OM037668.1_00130
OG0000052	AY779031.1_00102	OM037668.1_00081
OG0000053	AY779031.1_00104	OM037668.1_00032
OG0000054	AY779031.1_00107	OM037668.1_00033
OG0000055	AY779031.1_00120	OM037668.1_00075
OG0000056	AY779031.1_00125	OM037668.1_00079
OG0000057	AY779031.1_00127	OM037668.1_00134
OG0000058	AY779031.1_00002	OM037668.1_00031
OG0000059	AY779031.1_00010	OM037668.1_00054
OG0000061	AY779031.1_00099	OM037668.1_00083
OG0000113	AY779031.1_00022	OM037668.1_00042
OG0000114	AY779031.1_00011	OM037668.1_00053
OG0000117	AY779031.1_00100	OM037668.1_00082
