Orthogroup	MCV_Unlassified_OL310752.1	Chlor_IIV22_HF920633.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	Chlor_IIV22_HF920633.1_00044
OG0000001	MCV_Unlassified_OL310752.1_00019	Chlor_IIV22_HF920633.1_00073
OG0000002	MCV_Unlassified_OL310752.1_00018	Chlor_IIV22_HF920633.1_00069
OG0000003	MCV_Unlassified_OL310752.1_00012	Chlor_IIV22_HF920633.1_00127
OG0000004	MCV_Unlassified_OL310752.1_00060	Chlor_IIV22_HF920633.1_00079
OG0000005	MCV_Unlassified_OL310752.1_00042	Chlor_IIV22_HF920633.1_00091
OG0000006	MCV_Unlassified_OL310752.1_00107	Chlor_IIV22_HF920633.1_00043
OG0000007	MCV_Unlassified_OL310752.1_00078	Chlor_IIV22_HF920633.1_00025
OG0000008	MCV_Unlassified_OL310752.1_00116	Chlor_IIV22_HF920633.1_00122
OG0000009	MCV_Unlassified_OL310752.1_00036	Chlor_IIV22_HF920633.1_00085
OG0000011	MCV_Unlassified_OL310752.1_00046	Chlor_IIV22_HF920633.1_00163
OG0000012	MCV_Unlassified_OL310752.1_00083	Chlor_IIV22_HF920633.1_00175
OG0000013	MCV_Unlassified_OL310752.1_00065	Chlor_IIV22_HF920633.1_00003
OG0000014	MCV_Unlassified_OL310752.1_00045	Chlor_IIV22_HF920633.1_00094
OG0000015	MCV_Unlassified_OL310752.1_00114	Chlor_IIV22_HF920633.1_00080
OG0000016	MCV_Unlassified_OL310752.1_00004	Chlor_IIV22_HF920633.1_00001
OG0000017	MCV_Unlassified_OL310752.1_00096	Chlor_IIV22_HF920633.1_00067
OG0000018	MCV_Unlassified_OL310752.1_00071	Chlor_IIV22_HF920633.1_00138
OG0000019	MCV_Unlassified_OL310752.1_00027	Chlor_IIV22_HF920633.1_00118
OG0000020	MCV_Unlassified_OL310752.1_00072	Chlor_IIV22_HF920633.1_00058
OG0000021	MCV_Unlassified_OL310752.1_00085	Chlor_IIV22_HF920633.1_00158
OG0000022	MCV_Unlassified_OL310752.1_00021	Chlor_IIV22_HF920633.1_00097
OG0000023	MCV_Unlassified_OL310752.1_00052	Chlor_IIV22_HF920633.1_00017
OG0000024	MCV_Unlassified_OL310752.1_00104	Chlor_IIV22_HF920633.1_00062
OG0000025	MCV_Unlassified_OL310752.1_00028	Chlor_IIV22_HF920633.1_00047
