Orthogroup	MCV_Unlassified_OL310752.1	Irido_IIV6_AF303741.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_Unlassified_OL310752.1_00019	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_Unlassified_OL310752.1_00018	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_Unlassified_OL310752.1_00012	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_Unlassified_OL310752.1_00060	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_Unlassified_OL310752.1_00042	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_Unlassified_OL310752.1_00107	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_Unlassified_OL310752.1_00078	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_Unlassified_OL310752.1_00116	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_Unlassified_OL310752.1_00036	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_Unlassified_OL310752.1_00046	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_Unlassified_OL310752.1_00083	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_Unlassified_OL310752.1_00065	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_Unlassified_OL310752.1_00045	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_Unlassified_OL310752.1_00114	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_Unlassified_OL310752.1_00004	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_Unlassified_OL310752.1_00096	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_Unlassified_OL310752.1_00071	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_Unlassified_OL310752.1_00027	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_Unlassified_OL310752.1_00072	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_Unlassified_OL310752.1_00085	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_Unlassified_OL310752.1_00021	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_Unlassified_OL310752.1_00052	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_Unlassified_OL310752.1_00104	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_Unlassified_OL310752.1_00028	Irido_IIV6_AF303741.1_00051
