Orthogroup	OK042109.1	AF303741.1
OG0000000	OK042109.1_00047	AF303741.1_00079, AF303741.1_00152
OG0000001	OK042109.1_00068	AF303741.1_00200, AF303741.1_00047
OG0000002	OK042109.1_00069	AF303741.1_00125
OG0000003	OK042109.1_00061	AF303741.1_00035
OG0000004	OK042109.1_00088	AF303741.1_00080
OG0000005	OK042109.1_00105	AF303741.1_00129
OG0000006	OK042109.1_00001	AF303741.1_00132
OG0000007	OK042109.1_00110	AF303741.1_00149
OG0000008	OK042109.1_00048	AF303741.1_00165
OG0000009	OK042109.1_00086	AF303741.1_00176
OG0000011	OK042109.1_00013	AF303741.1_00006
OG0000012	OK042109.1_00054	AF303741.1_00011
OG0000013	OK042109.1_00020	AF303741.1_00023
OG0000014	OK042109.1_00078	AF303741.1_00026
OG0000015	OK042109.1_00077	AF303741.1_00046
OG0000016	OK042109.1_00113	AF303741.1_00062
OG0000017	OK042109.1_00044	AF303741.1_00063
OG0000018	OK042109.1_00093	AF303741.1_00081
OG0000019	OK042109.1_00114	AF303741.1_00137
OG0000020	OK042109.1_00046	AF303741.1_00156
OG0000021	OK042109.1_00071	AF303741.1_00158
OG0000022	OK042109.1_00042	AF303741.1_00189
OG0000023	OK042109.1_00033	AF303741.1_00154
OG0000024	OK042109.1_00051	AF303741.1_00168
