Orthogroup	OK042109.1	ON075463.1
OG0000000	OK042109.1_00047	ON075463.1_00029
OG0000001	OK042109.1_00068	ON075463.1_00008
OG0000002	OK042109.1_00069	ON075463.1_00007
OG0000003	OK042109.1_00061	ON075463.1_00014
OG0000004	OK042109.1_00088	ON075463.1_00109
OG0000005	OK042109.1_00105	ON075463.1_00092
OG0000006	OK042109.1_00001	ON075463.1_00073
OG0000007	OK042109.1_00110	ON075463.1_00087
OG0000008	OK042109.1_00048	ON075463.1_00028
OG0000009	OK042109.1_00086	ON075463.1_00111
OG0000010	OK042109.1_00123	ON075463.1_00074
OG0000011	OK042109.1_00013	ON075463.1_00061
OG0000012	OK042109.1_00054	ON075463.1_00021
OG0000013	OK042109.1_00020	ON075463.1_00055
OG0000014	OK042109.1_00078	ON075463.1_00118
OG0000015	OK042109.1_00077	ON075463.1_00119
OG0000016	OK042109.1_00113	ON075463.1_00084
OG0000017	OK042109.1_00044	ON075463.1_00032
OG0000018	OK042109.1_00093	ON075463.1_00104
OG0000019	OK042109.1_00114	ON075463.1_00083
OG0000020	OK042109.1_00046	ON075463.1_00030
OG0000021	OK042109.1_00071	ON075463.1_00005
OG0000022	OK042109.1_00042	ON075463.1_00034
OG0000023	OK042109.1_00033	ON075463.1_00043
OG0000024	OK042109.1_00051	ON075463.1_00025
OG0000026	OK042109.1_00090	ON075463.1_00107
OG0000027	OK042109.1_00112	ON075463.1_00085
OG0000028	OK042109.1_00030	ON075463.1_00046
OG0000029	OK042109.1_00015	ON075463.1_00059
OG0000030	OK042109.1_00075	ON075463.1_00001
OG0000031	OK042109.1_00070	ON075463.1_00006
OG0000032	OK042109.1_00119	ON075463.1_00078
OG0000033	OK042109.1_00111	ON075463.1_00086
OG0000034	OK042109.1_00076	ON075463.1_00120
OG0000035	OK042109.1_00063	ON075463.1_00012
OG0000036	OK042109.1_00062	ON075463.1_00013
OG0000037	OK042109.1_00057	ON075463.1_00018
OG0000038	OK042109.1_00056	ON075463.1_00019
OG0000039	OK042109.1_00053	ON075463.1_00022
OG0000040	OK042109.1_00052	ON075463.1_00023
OG0000041	OK042109.1_00045	ON075463.1_00031
OG0000042	OK042109.1_00041	ON075463.1_00035
OG0000043	OK042109.1_00028	ON075463.1_00047
OG0000044	OK042109.1_00027	ON075463.1_00048
OG0000045	OK042109.1_00022	ON075463.1_00053
OG0000046	OK042109.1_00021	ON075463.1_00054
OG0000047	OK042109.1_00019	ON075463.1_00056
OG0000048	OK042109.1_00017	ON075463.1_00057
OG0000049	OK042109.1_00016	ON075463.1_00058
OG0000050	OK042109.1_00122	ON075463.1_00075
OG0000051	OK042109.1_00118	ON075463.1_00079
OG0000052	OK042109.1_00117	ON075463.1_00080
OG0000053	OK042109.1_00106	ON075463.1_00091
OG0000054	OK042109.1_00104	ON075463.1_00093
OG0000055	OK042109.1_00101	ON075463.1_00096
OG0000056	OK042109.1_00089	ON075463.1_00108
OG0000057	OK042109.1_00084	ON075463.1_00113
OG0000058	OK042109.1_00082	ON075463.1_00115
OG0000059	OK042109.1_00074	ON075463.1_00002
OG0000060	OK042109.1_00066	ON075463.1_00010
