Orthogroup	OK042109.1	L63545.1
OG0000000	OK042109.1_00047	L63545.1_00007
OG0000001	OK042109.1_00068	L63545.1_00035
OG0000002	OK042109.1_00069	L63545.1_00079
OG0000003	OK042109.1_00061	L63545.1_00076
OG0000004	OK042109.1_00088	L63545.1_00001
OG0000005	OK042109.1_00105	L63545.1_00056
OG0000006	OK042109.1_00001	L63545.1_00093
OG0000007	OK042109.1_00110	L63545.1_00090
OG0000008	OK042109.1_00048	L63545.1_00108
OG0000009	OK042109.1_00086	L63545.1_00024
OG0000011	OK042109.1_00013	L63545.1_00069
OG0000012	OK042109.1_00054	L63545.1_00071
OG0000013	OK042109.1_00020	L63545.1_00004
OG0000014	OK042109.1_00078	L63545.1_00030
OG0000015	OK042109.1_00077	L63545.1_00110
OG0000016	OK042109.1_00113	L63545.1_00073
OG0000017	OK042109.1_00044	L63545.1_00072
OG0000018	OK042109.1_00093	L63545.1_00068
OG0000019	OK042109.1_00114	L63545.1_00009
OG0000020	OK042109.1_00046	L63545.1_00098
OG0000021	OK042109.1_00071	L63545.1_00043
OG0000022	OK042109.1_00042	L63545.1_00013
OG0000023	OK042109.1_00033	L63545.1_00054
OG0000024	OK042109.1_00051	L63545.1_00015
OG0000026	OK042109.1_00090	L63545.1_00002
OG0000027	OK042109.1_00112	L63545.1_00058
OG0000028	OK042109.1_00030	L63545.1_00003
