Orthogroup	AY521625	KX643370
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	AY521625.1_00130 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	AY521625.1_00077 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	AY521625.1_00053 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	AY521625.1_00110 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	AY521625.1_00048 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	AY521625.1_00115 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	AY521625.1_00035 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	AY521625.1_00059 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	AY521625.1_00047 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	AY521625.1_00064 AY521625.1 - Major capsid protein translation	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	AY521625.1_00086 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	AY521625.1_00016 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	AY521625.1_00074 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	AY521625.1_00054 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	AY521625.1_00073 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	AY521625.1_00069 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	AY521625.1_00100 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	AY521625.1_00042 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000022	AY521625.1_00062 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	AY521625.1_00051 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000027	AY521625.1_00022 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000028	AY521625.1_00060 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000114	AY521625.1_00036 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000130	AY521625.1_00098 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000133	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000148	AY521625.1_00002 AY521625.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00047 hypothetical protein
