Orthogroup	MK098185.1	HF920637.1
OG0000000	MK098185.1_00033	HF920637.1_00129, HF920637.1_00164
OG0000001	MK098185.1_00008	HF920637.1_00059
OG0000002	MK098185.1_00007	HF920637.1_00143
OG0000003	MK098185.1_00015	HF920637.1_00159
OG0000004	MK098185.1_00112	HF920637.1_00025
OG0000005	MK098185.1_00095	HF920637.1_00221
OG0000006	MK098185.1_00076	HF920637.1_00121
OG0000007	MK098185.1_00090	HF920637.1_00172
OG0000008	MK098185.1_00032	HF920637.1_00176, HF920637.1_00175
OG0000009	MK098185.1_00114	HF920637.1_00153
OG0000011	MK098185.1_00064	HF920637.1_00217
OG0000012	MK098185.1_00022	HF920637.1_00001
OG0000013	MK098185.1_00058	HF920637.1_00017
OG0000014	MK098185.1_00122	HF920637.1_00108
OG0000015	MK098185.1_00123	HF920637.1_00152
OG0000016	MK098185.1_00087	HF920637.1_00079
OG0000017	MK098185.1_00036	HF920637.1_00073
OG0000018	MK098185.1_00107	HF920637.1_00111
OG0000019	MK098185.1_00086	HF920637.1_00197
OG0000020	MK098185.1_00034	HF920637.1_00031
OG0000021	MK098185.1_00005	HF920637.1_00041
OG0000022	MK098185.1_00038	HF920637.1_00213
OG0000023	MK098185.1_00047	HF920637.1_00033
OG0000024	MK098185.1_00029	HF920637.1_00061
OG0000025	MK098185.1_00065	HF920637.1_00156
OG0000031	MK098185.1_00006	HF920637.1_00127
