Orthogroup	MK098185.1	NC_005946.1
OG0000000	MK098185.1_00033	NC_005946.1_00010
OG0000001	MK098185.1_00008	NC_005946.1_00053
OG0000002	MK098185.1_00007	NC_005946.1_00091
OG0000003	MK098185.1_00015	NC_005946.1_00057
OG0000004	MK098185.1_00112	NC_005946.1_00028
OG0000005	MK098185.1_00095	NC_005946.1_00014
OG0000006	MK098185.1_00076	NC_005946.1_00042
OG0000007	MK098185.1_00090	NC_005946.1_00002
OG0000008	MK098185.1_00032	NC_005946.1_00095
OG0000009	MK098185.1_00114	NC_005946.1_00092
OG0000011	MK098185.1_00064	NC_005946.1_00011
OG0000012	MK098185.1_00022	NC_005946.1_00060
OG0000013	MK098185.1_00058	NC_005946.1_00022
OG0000014	MK098185.1_00122	NC_005946.1_00016
OG0000015	MK098185.1_00123	NC_005946.1_00021
OG0000016	MK098185.1_00087	NC_005946.1_00082
OG0000017	MK098185.1_00036	NC_005946.1_00087
OG0000018	MK098185.1_00107	NC_005946.1_00023
OG0000019	MK098185.1_00086	NC_005946.1_00094
OG0000020	MK098185.1_00034	NC_005946.1_00083
OG0000021	MK098185.1_00005	NC_005946.1_00038
OG0000022	MK098185.1_00038	NC_005946.1_00061
OG0000023	MK098185.1_00047	NC_005946.1_00089
OG0000024	MK098185.1_00029	NC_005946.1_00067
OG0000026	MK098185.1_00110	NC_005946.1_00086
OG0000027	MK098185.1_00088	NC_005946.1_00049
OG0000028	MK098185.1_00050	NC_005946.1_00085
OG0000112	MK098185.1_00080	NC_005946.1_00006
