Orthogroup	HF920633.1	NC_005946.1
OG0000000	HF920633.1_00044	NC_005946.1_00010
OG0000001	HF920633.1_00069	NC_005946.1_00053
OG0000002	HF920633.1_00073	NC_005946.1_00091
OG0000003	HF920633.1_00127	NC_005946.1_00057
OG0000004	HF920633.1_00079	NC_005946.1_00028
OG0000005	HF920633.1_00085	NC_005946.1_00014
OG0000006	HF920633.1_00025	NC_005946.1_00042
OG0000007	HF920633.1_00091	NC_005946.1_00002
OG0000008	HF920633.1_00043	NC_005946.1_00095
OG0000009	HF920633.1_00122	NC_005946.1_00092
OG0000011	HF920633.1_00118	NC_005946.1_00011
OG0000012	HF920633.1_00001	NC_005946.1_00060
OG0000013	HF920633.1_00067	NC_005946.1_00022
OG0000014	HF920633.1_00138	NC_005946.1_00016
OG0000015	HF920633.1_00058	NC_005946.1_00021
OG0000016	HF920633.1_00094	NC_005946.1_00082
OG0000017	HF920633.1_00158	NC_005946.1_00087
OG0000018	HF920633.1_00003	NC_005946.1_00023
OG0000019	HF920633.1_00163	NC_005946.1_00094
OG0000020	HF920633.1_00080	NC_005946.1_00083
OG0000021	HF920633.1_00097	NC_005946.1_00038
OG0000022	HF920633.1_00175	NC_005946.1_00061
OG0000023	HF920633.1_00017	NC_005946.1_00089
OG0000024	HF920633.1_00062	NC_005946.1_00067
OG0000113	HF920633.1_00145	NC_005946.1_00020
OG0000134	HF920633.1_00135	NC_005946.1_00001
OG0000135	HF920633.1_00064	NC_005946.1_00079
OG0000137	HF920633.1_00132	NC_005946.1_00039
OG0000148	HF920633.1_00026	NC_005946.1_00054
OG0000156	HF920633.1_00106	NC_005946.1_00063
OG0000158	HF920633.1_00024	NC_005946.1_00044
OG0000172	HF920633.1_00144	NC_005946.1_00004
OG0000176	HF920633.1_00171	NC_005946.1_00026
OG0000178	HF920633.1_00034	NC_005946.1_00029
