Orthogroup	HF920633.1	AF303741.1
OG0000000	HF920633.1_00044	AF303741.1_00079, AF303741.1_00152
OG0000001	HF920633.1_00069	AF303741.1_00200, AF303741.1_00047
OG0000002	HF920633.1_00073	AF303741.1_00125
OG0000003	HF920633.1_00127	AF303741.1_00035
OG0000004	HF920633.1_00079	AF303741.1_00080
OG0000005	HF920633.1_00085	AF303741.1_00129
OG0000006	HF920633.1_00025	AF303741.1_00132
OG0000007	HF920633.1_00091	AF303741.1_00149
OG0000008	HF920633.1_00043	AF303741.1_00165
OG0000009	HF920633.1_00122	AF303741.1_00176
OG0000011	HF920633.1_00118	AF303741.1_00006
OG0000012	HF920633.1_00001	AF303741.1_00011
OG0000013	HF920633.1_00067	AF303741.1_00023
OG0000014	HF920633.1_00138	AF303741.1_00026
OG0000015	HF920633.1_00058	AF303741.1_00046
OG0000016	HF920633.1_00094	AF303741.1_00062
OG0000017	HF920633.1_00158	AF303741.1_00063
OG0000018	HF920633.1_00003	AF303741.1_00081
OG0000019	HF920633.1_00163	AF303741.1_00137
OG0000020	HF920633.1_00080	AF303741.1_00156
OG0000021	HF920633.1_00097	AF303741.1_00158
OG0000022	HF920633.1_00175	AF303741.1_00189
OG0000023	HF920633.1_00017	AF303741.1_00154
OG0000024	HF920633.1_00062	AF303741.1_00168
OG0000025	HF920633.1_00047	AF303741.1_00051
OG0000113	HF920633.1_00145	AF303741.1_00169
OG0000113	HF920633.1_00086	AF303741.1_00170
OG0000119	HF920633.1_00040, HF920633.1_00117, HF920633.1_00143, HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170	AF303741.1_00109, AF303741.1_00094, AF303741.1_00173, AF303741.1_00095, AF303741.1_00007, AF303741.1_00066
OG0000122	HF920633.1_00116	AF303741.1_00005, AF303741.1_00065
OG0000123	HF920633.1_00130, HF920633.1_00174, HF920633.1_00007	AF303741.1_00195
OG0000126	HF920633.1_00059, HF920633.1_00119, HF920633.1_00081	AF303741.1_00088
OG0000133	HF920633.1_00004	AF303741.1_00130, AF303741.1_00089
OG0000134	HF920633.1_00135	AF303741.1_00126
OG0000135	HF920633.1_00064	AF303741.1_00157
OG0000137	HF920633.1_00132	AF303741.1_00031
OG0000138	HF920633.1_00053	AF303741.1_00100, AF303741.1_00162
OG0000139	HF920633.1_00156	AF303741.1_00101
OG0000148	HF920633.1_00026	AF303741.1_00072
OG0000149	HF920633.1_00104	AF303741.1_00185
OG0000152	HF920633.1_00019, HF920633.1_00100, HF920633.1_00099, HF920633.1_00129	AF303741.1_00099, AF303741.1_00070
OG0000153	HF920633.1_00088	AF303741.1_00145, AF303741.1_00090
OG0000154	HF920633.1_00114	AF303741.1_00182
OG0000155	HF920633.1_00036	AF303741.1_00183
OG0000156	HF920633.1_00106	AF303741.1_00192
OG0000165	HF920633.1_00030	AF303741.1_00147, AF303741.1_00049, AF303741.1_00078, AF303741.1_00083
OG0000166	HF920633.1_00134	AF303741.1_00056
OG0000167	HF920633.1_00039	AF303741.1_00068, AF303741.1_00067
OG0000168	HF920633.1_00105	AF303741.1_00076
OG0000169	HF920633.1_00082	AF303741.1_00087
OG0000170	HF920633.1_00169	AF303741.1_00091
OG0000171	HF920633.1_00177	AF303741.1_00096
OG0000172	HF920633.1_00144	AF303741.1_00105
OG0000174	HF920633.1_00046	AF303741.1_00179
OG0000175	HF920633.1_00031, HF920633.1_00161	AF303741.1_00181
OG0000185	HF920633.1_00128	AF303741.1_00003
OG0000186	HF920633.1_00110	AF303741.1_00004
OG0000187	HF920633.1_00149	AF303741.1_00015
OG0000188	HF920633.1_00165	AF303741.1_00017
OG0000189	HF920633.1_00103	AF303741.1_00085
OG0000190	HF920633.1_00020, HF920633.1_00021	AF303741.1_00086
OG0000191	HF920633.1_00032	AF303741.1_00104
OG0000192	HF920633.1_00022	AF303741.1_00112
OG0000193	HF920633.1_00131	AF303741.1_00122
OG0000194	HF920633.1_00120	AF303741.1_00136
OG0000195	HF920633.1_00146	AF303741.1_00146
OG0000196	HF920633.1_00056	AF303741.1_00148
OG0000197	HF920633.1_00123	AF303741.1_00150
OG0000198	HF920633.1_00050	AF303741.1_00151
OG0000199	HF920633.1_00098	AF303741.1_00161
OG0000201	HF920633.1_00035	AF303741.1_00177
OG0000202	HF920633.1_00029	AF303741.1_00184
OG0000203	HF920633.1_00121	AF303741.1_00193
OG0000204	HF920633.1_00125	AF303741.1_00197
OG0000214	HF920633.1_00101	AF303741.1_00008
OG0000216	HF920633.1_00008	AF303741.1_00018
OG0000218	HF920633.1_00063	AF303741.1_00042
OG0000219	HF920633.1_00160	AF303741.1_00044
OG0000220	HF920633.1_00061	AF303741.1_00064
OG0000221	HF920633.1_00018	AF303741.1_00074
OG0000222	HF920633.1_00023	AF303741.1_00107
OG0000223	HF920633.1_00102	AF303741.1_00120
OG0000224	HF920633.1_00074	AF303741.1_00124
OG0000225	HF920633.1_00087	AF303741.1_00135
OG0000226	HF920633.1_00041	AF303741.1_00159
OG0000227	HF920633.1_00013	AF303741.1_00160
OG0000228	HF920633.1_00113	AF303741.1_00175
OG0000229	HF920633.1_00037	AF303741.1_00203
OG0000230	HF920633.1_00155	AF303741.1_00204
OG0000281	HF920633.1_00016	AF303741.1_00028
OG0000285	HF920633.1_00070	AF303741.1_00115
OG0000286	HF920633.1_00167	AF303741.1_00116
OG0000310	HF920633.1_00075	AF303741.1_00002
OG0000313	HF920633.1_00002	AF303741.1_00016
OG0000319	HF920633.1_00178	AF303741.1_00043
OG0000321	HF920633.1_00166	AF303741.1_00048
OG0000327	HF920633.1_00065	AF303741.1_00069
OG0000333	HF920633.1_00140	AF303741.1_00111
OG0000346	HF920633.1_00176	AF303741.1_00180
OG0000347	HF920633.1_00055	AF303741.1_00186
