Orthogroup	HF920633.1	ON743042.1
OG0000000	HF920633.1_00044	ON743042.1_00031
OG0000001	HF920633.1_00069	ON743042.1_00008
OG0000002	HF920633.1_00073	ON743042.1_00007
OG0000003	HF920633.1_00127	ON743042.1_00015
OG0000004	HF920633.1_00079	ON743042.1_00113
OG0000005	HF920633.1_00085	ON743042.1_00096
OG0000006	HF920633.1_00025	ON743042.1_00077
OG0000007	HF920633.1_00091	ON743042.1_00091
OG0000008	HF920633.1_00043	ON743042.1_00030
OG0000009	HF920633.1_00122	ON743042.1_00115
OG0000011	HF920633.1_00118	ON743042.1_00065
OG0000012	HF920633.1_00001	ON743042.1_00022
OG0000013	HF920633.1_00067	ON743042.1_00059
OG0000014	HF920633.1_00138	ON743042.1_00123
OG0000015	HF920633.1_00058	ON743042.1_00124
OG0000016	HF920633.1_00094	ON743042.1_00088
OG0000017	HF920633.1_00158	ON743042.1_00034
OG0000018	HF920633.1_00003	ON743042.1_00108
OG0000019	HF920633.1_00163	ON743042.1_00087
OG0000020	HF920633.1_00080	ON743042.1_00032
OG0000021	HF920633.1_00097	ON743042.1_00005
OG0000022	HF920633.1_00175	ON743042.1_00036
OG0000023	HF920633.1_00017	ON743042.1_00046
OG0000024	HF920633.1_00062	ON743042.1_00027
OG0000025	HF920633.1_00047	ON743042.1_00066
