Orthogroup	HF920633.1	AY894343.1
OG0000000	HF920633.1_00044	AY894343.1_00029
OG0000001	HF920633.1_00069	AY894343.1_00008
OG0000002	HF920633.1_00073	AY894343.1_00007
OG0000003	HF920633.1_00127	AY894343.1_00015
OG0000004	HF920633.1_00079	AY894343.1_00113
OG0000005	HF920633.1_00085	AY894343.1_00096
OG0000006	HF920633.1_00025	AY894343.1_00076
OG0000007	HF920633.1_00091	AY894343.1_00090
OG0000008	HF920633.1_00043	AY894343.1_00028
OG0000009	HF920633.1_00122	AY894343.1_00115
OG0000011	HF920633.1_00118	AY894343.1_00063
OG0000012	HF920633.1_00001	AY894343.1_00021
OG0000013	HF920633.1_00067	AY894343.1_00056
OG0000014	HF920633.1_00138	AY894343.1_00123
OG0000015	HF920633.1_00058	AY894343.1_00124
OG0000016	HF920633.1_00094	AY894343.1_00087
OG0000017	HF920633.1_00158	AY894343.1_00032
OG0000018	HF920633.1_00003	AY894343.1_00108
OG0000019	HF920633.1_00163	AY894343.1_00086
OG0000020	HF920633.1_00080	AY894343.1_00030
OG0000021	HF920633.1_00097	AY894343.1_00005
OG0000022	HF920633.1_00175	AY894343.1_00034
OG0000023	HF920633.1_00017	AY894343.1_00043
OG0000024	HF920633.1_00062	AY894343.1_00025
OG0000025	HF920633.1_00047	AY894343.1_00064
