Orthogroup	BD143114.1	NC_027778.1
OG0000000	BD143114.1_00045	NC_027778.1_00083
OG0000001	BD143114.1_00068	NC_027778.1_00061
OG0000002	BD143114.1_00123	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120
OG0000003	BD143114.1_00067	NC_027778.1_00062
OG0000004	BD143114.1_00060	NC_027778.1_00068
OG0000005	BD143114.1_00046	NC_027778.1_00080
OG0000006	BD143114.1_00001	NC_027778.1_00098
OG0000007	BD143114.1_00109	NC_027778.1_00032
OG0000008	BD143114.1_00087	NC_027778.1_00040
OG0000009	BD143114.1_00085	NC_027778.1_00039
OG0000010	BD143114.1_00070	NC_027778.1_00106
OG0000011	BD143114.1_00053	NC_027778.1_00077
OG0000012	BD143114.1_00044	NC_027778.1_00133
OG0000013	BD143114.1_00042	NC_027778.1_00132
OG0000014	BD143114.1_00040	NC_027778.1_00129
OG0000015	BD143114.1_00019	NC_027778.1_00018
OG0000016	BD143114.1_00013	NC_027778.1_00111
OG0000017	BD143114.1_00114	NC_027778.1_00026
OG0000018	BD143114.1_00113	NC_027778.1_00027
OG0000019	BD143114.1_00092	NC_027778.1_00043
OG0000020	BD143114.1_00077	NC_027778.1_00038
OG0000021	BD143114.1_00076	NC_027778.1_00116
OG0000022	BD143114.1_00031	NC_027778.1_00003
OG0000023	BD143114.1_00104	NC_027778.1_00036
OG0000024	BD143114.1_00089	NC_027778.1_00042
OG0000025	BD143114.1_00012	NC_027778.1_00094, NC_027778.1_00095
OG0000026	BD143114.1_00112	NC_027778.1_00029
OG0000027	BD143114.1_00028	NC_027778.1_00006
OG0000028	BD143114.1_00069	NC_027778.1_00108
OG0000029	BD143114.1_00015	NC_027778.1_00021
OG0000030	BD143114.1_00073	NC_027778.1_00088
OG0000031	BD143114.1_00119	NC_027778.1_00100
OG0000032	BD143114.1_00110, BD143114.1_00111	NC_027778.1_00030
OG0000033	BD143114.1_00074, BD143114.1_00075	NC_027778.1_00090
OG0000034	BD143114.1_00062	NC_027778.1_00067
OG0000035	BD143114.1_00061	NC_027778.1_00115
OG0000036	BD143114.1_00056	NC_027778.1_00072
OG0000037	BD143114.1_00055	NC_027778.1_00073
OG0000038	BD143114.1_00052	NC_027778.1_00078
OG0000039	BD143114.1_00051	NC_027778.1_00070
OG0000040	BD143114.1_00043	NC_027778.1_00117
OG0000041	BD143114.1_00039	NC_027778.1_00134
OG0000042	BD143114.1_00027	NC_027778.1_00010
OG0000043	BD143114.1_00026	NC_027778.1_00011
OG0000044	BD143114.1_00021	NC_027778.1_00016
OG0000045	BD143114.1_00020	NC_027778.1_00017
OG0000046	BD143114.1_00018	NC_027778.1_00019
OG0000047	BD143114.1_00017	NC_027778.1_00031
OG0000048	BD143114.1_00016	NC_027778.1_00020
OG0000049	BD143114.1_00122	NC_027778.1_00099
OG0000050	BD143114.1_00118	NC_027778.1_00101
OG0000051	BD143114.1_00117	NC_027778.1_00126
OG0000052	BD143114.1_00105	NC_027778.1_00035
OG0000053	BD143114.1_00103	NC_027778.1_00086
OG0000054	BD143114.1_00100	NC_027778.1_00085
OG0000055	BD143114.1_00088	NC_027778.1_00041
OG0000056	BD143114.1_00083	NC_027778.1_00037
OG0000057	BD143114.1_00081	NC_027778.1_00121
OG0000058	BD143114.1_00072	NC_027778.1_00087
OG0000059	BD143114.1_00065	NC_027778.1_00064
OG0000060	BD143114.1_00057	NC_027778.1_00071
OG0000061	BD143114.1_00108	NC_027778.1_00033
OG0000062	BD143114.1_00049	NC_027778.1_00054
OG0000096	BD143114.1_00079	NC_027778.1_00025
OG0000113	BD143114.1_00054	NC_027778.1_00076
OG0000114	BD143114.1_00064	NC_027778.1_00065
OG0000115	BD143114.1_00022	NC_027778.1_00015
OG0000117	BD143114.1_00107	NC_027778.1_00034
