Orthogroup	BD143114.1	MN803438.1
OG0000000	BD143114.1_00045	MN803438.1_00124
OG0000001	BD143114.1_00068	MN803438.1_00023
OG0000003	BD143114.1_00067	MN803438.1_00101, MN803438.1_00056
OG0000004	BD143114.1_00060	MN803438.1_00113
OG0000005	BD143114.1_00046	MN803438.1_00106
OG0000006	BD143114.1_00001	MN803438.1_00142
OG0000007	BD143114.1_00109	MN803438.1_00027
OG0000008	BD143114.1_00087	MN803438.1_00104
OG0000009	BD143114.1_00085	MN803438.1_00109
OG0000010	BD143114.1_00070	MN803438.1_00089
OG0000011	BD143114.1_00053	MN803438.1_00128
OG0000012	BD143114.1_00044	MN803438.1_00068
OG0000013	BD143114.1_00042	MN803438.1_00035
OG0000014	BD143114.1_00040	MN803438.1_00013
OG0000015	BD143114.1_00019	MN803438.1_00007
OG0000016	BD143114.1_00013	MN803438.1_00049
OG0000017	BD143114.1_00114	MN803438.1_00097
OG0000018	BD143114.1_00113	MN803438.1_00122
OG0000019	BD143114.1_00092	MN803438.1_00051
OG0000020	BD143114.1_00077	MN803438.1_00070
OG0000021	BD143114.1_00076	MN803438.1_00046
OG0000022	BD143114.1_00031	MN803438.1_00077
OG0000023	BD143114.1_00104	MN803438.1_00071
OG0000024	BD143114.1_00089	MN803438.1_00126
OG0000026	BD143114.1_00112	MN803438.1_00037
OG0000027	BD143114.1_00028	MN803438.1_00054
OG0000028	BD143114.1_00069	MN803438.1_00145
