Orthogroup	BD143114.1	AY521625.1
OG0000000	BD143114.1_00045	AY521625.1_00091
OG0000001	BD143114.1_00068	AY521625.1_00064
OG0000003	BD143114.1_00067	AY521625.1_00077
OG0000004	BD143114.1_00060	AY521625.1_00130
OG0000005	BD143114.1_00046	AY521625.1_00085
OG0000006	BD143114.1_00001	AY521625.1_00051
OG0000007	BD143114.1_00109	AY521625.1_00016
OG0000008	BD143114.1_00087	AY521625.1_00069, AY521625.1_00070
OG0000009	BD143114.1_00085	AY521625.1_00142
OG0000010	BD143114.1_00070	AY521625.1_00054
OG0000011	BD143114.1_00053	AY521625.1_00110
OG0000012	BD143114.1_00044	AY521625.1_00074
OG0000013	BD143114.1_00042	AY521625.1_00059
OG0000014	BD143114.1_00040	AY521625.1_00065
OG0000015	BD143114.1_00019	AY521625.1_00048
OG0000016	BD143114.1_00013	AY521625.1_00053
OG0000017	BD143114.1_00114	AY521625.1_00086
OG0000018	BD143114.1_00113	AY521625.1_00073
OG0000019	BD143114.1_00092	AY521625.1_00047
OG0000020	BD143114.1_00077	AY521625.1_00115
OG0000021	BD143114.1_00076	AY521625.1_00035
OG0000022	BD143114.1_00031	AY521625.1_00062
OG0000023	BD143114.1_00104	AY521625.1_00100
OG0000024	BD143114.1_00089	AY521625.1_00060
OG0000026	BD143114.1_00112	AY521625.1_00022
OG0000030	BD143114.1_00073	AY521625.1_00004
