Orthogroup	MCV_Unlassified_OL310752.1	Lymph_LDV1_L63545.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	Lymph_LDV1_L63545.1_00007
OG0000001	MCV_Unlassified_OL310752.1_00019	Lymph_LDV1_L63545.1_00079
OG0000002	MCV_Unlassified_OL310752.1_00018	Lymph_LDV1_L63545.1_00035
OG0000003	MCV_Unlassified_OL310752.1_00012	Lymph_LDV1_L63545.1_00076
OG0000004	MCV_Unlassified_OL310752.1_00060	Lymph_LDV1_L63545.1_00001
OG0000005	MCV_Unlassified_OL310752.1_00042	Lymph_LDV1_L63545.1_00090
OG0000006	MCV_Unlassified_OL310752.1_00107	Lymph_LDV1_L63545.1_00108
OG0000007	MCV_Unlassified_OL310752.1_00078	Lymph_LDV1_L63545.1_00093
OG0000008	MCV_Unlassified_OL310752.1_00116	Lymph_LDV1_L63545.1_00024
OG0000009	MCV_Unlassified_OL310752.1_00036	Lymph_LDV1_L63545.1_00056
OG0000011	MCV_Unlassified_OL310752.1_00046	Lymph_LDV1_L63545.1_00009
OG0000012	MCV_Unlassified_OL310752.1_00083	Lymph_LDV1_L63545.1_00013
OG0000013	MCV_Unlassified_OL310752.1_00065	Lymph_LDV1_L63545.1_00068
OG0000014	MCV_Unlassified_OL310752.1_00045	Lymph_LDV1_L63545.1_00073
OG0000015	MCV_Unlassified_OL310752.1_00114	Lymph_LDV1_L63545.1_00098
OG0000016	MCV_Unlassified_OL310752.1_00004	Lymph_LDV1_L63545.1_00071
OG0000017	MCV_Unlassified_OL310752.1_00096	Lymph_LDV1_L63545.1_00004
OG0000018	MCV_Unlassified_OL310752.1_00071	Lymph_LDV1_L63545.1_00030
OG0000019	MCV_Unlassified_OL310752.1_00027	Lymph_LDV1_L63545.1_00069
OG0000020	MCV_Unlassified_OL310752.1_00072	Lymph_LDV1_L63545.1_00110
OG0000021	MCV_Unlassified_OL310752.1_00085	Lymph_LDV1_L63545.1_00072
OG0000022	MCV_Unlassified_OL310752.1_00021	Lymph_LDV1_L63545.1_00043
OG0000023	MCV_Unlassified_OL310752.1_00052	Lymph_LDV1_L63545.1_00054
OG0000024	MCV_Unlassified_OL310752.1_00104	Lymph_LDV1_L63545.1_00015
OG0000026	MCV_Unlassified_OL310752.1_00062	Lymph_LDV1_L63545.1_00002
OG0000027	MCV_Unlassified_OL310752.1_00044	Lymph_LDV1_L63545.1_00058
OG0000028	MCV_Unlassified_OL310752.1_00087	Lymph_LDV1_L63545.1_00003
