Orthogroup	MCV_Unlassified_OL310752.1	Daphi_LS484712.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	Daphi_LS484712.1_00114
OG0000001	MCV_Unlassified_OL310752.1_00019	Daphi_LS484712.1_00142
OG0000002	MCV_Unlassified_OL310752.1_00018	Daphi_LS484712.1_00095
OG0000003	MCV_Unlassified_OL310752.1_00012	Daphi_LS484712.1_00187
OG0000005	MCV_Unlassified_OL310752.1_00042	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	MCV_Unlassified_OL310752.1_00107	Daphi_LS484712.1_00248
OG0000007	MCV_Unlassified_OL310752.1_00078	Daphi_LS484712.1_00040
OG0000008	MCV_Unlassified_OL310752.1_00116	Daphi_LS484712.1_00130
OG0000009	MCV_Unlassified_OL310752.1_00036	Daphi_LS484712.1_00256
OG0000011	MCV_Unlassified_OL310752.1_00046	Daphi_LS484712.1_00192
OG0000012	MCV_Unlassified_OL310752.1_00083	Daphi_LS484712.1_00194
OG0000013	MCV_Unlassified_OL310752.1_00065	Daphi_LS484712.1_00053
OG0000014	MCV_Unlassified_OL310752.1_00045	Daphi_LS484712.1_00048
OG0000015	MCV_Unlassified_OL310752.1_00114	Daphi_LS484712.1_00188
OG0000016	MCV_Unlassified_OL310752.1_00004	Daphi_LS484712.1_00200
OG0000017	MCV_Unlassified_OL310752.1_00096	Daphi_LS484712.1_00143
OG0000018	MCV_Unlassified_OL310752.1_00071	Daphi_LS484712.1_00202
OG0000019	MCV_Unlassified_OL310752.1_00027	Daphi_LS484712.1_00203
OG0000020	MCV_Unlassified_OL310752.1_00072	Daphi_LS484712.1_00135
OG0000021	MCV_Unlassified_OL310752.1_00085	Daphi_LS484712.1_00240
OG0000022	MCV_Unlassified_OL310752.1_00021	Daphi_LS484712.1_00096
OG0000023	MCV_Unlassified_OL310752.1_00052	Daphi_LS484712.1_00117
OG0000024	MCV_Unlassified_OL310752.1_00104	Daphi_LS484712.1_00149
OG0000064	MCV_Unlassified_OL310752.1_00031	Daphi_LS484712.1_00002
