Orthogroup	MCV_Unlassified_OL310752.1	Chlor_AMIV_KF938901.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	Chlor_AMIV_KF938901.1_00126
OG0000001	MCV_Unlassified_OL310752.1_00019	Chlor_AMIV_KF938901.1_00044
OG0000002	MCV_Unlassified_OL310752.1_00018	Chlor_AMIV_KF938901.1_00080
OG0000003	MCV_Unlassified_OL310752.1_00012	Chlor_AMIV_KF938901.1_00005
OG0000004	MCV_Unlassified_OL310752.1_00060	Chlor_AMIV_KF938901.1_00043
OG0000005	MCV_Unlassified_OL310752.1_00042	Chlor_AMIV_KF938901.1_00053
OG0000006	MCV_Unlassified_OL310752.1_00107	Chlor_AMIV_KF938901.1_00067
OG0000007	MCV_Unlassified_OL310752.1_00078	Chlor_AMIV_KF938901.1_00072
OG0000008	MCV_Unlassified_OL310752.1_00116	Chlor_AMIV_KF938901.1_00114
OG0000009	MCV_Unlassified_OL310752.1_00036	Chlor_AMIV_KF938901.1_00125
OG0000011	MCV_Unlassified_OL310752.1_00046	Chlor_AMIV_KF938901.1_00012
OG0000012	MCV_Unlassified_OL310752.1_00083	Chlor_AMIV_KF938901.1_00023
OG0000013	MCV_Unlassified_OL310752.1_00065	Chlor_AMIV_KF938901.1_00025
OG0000014	MCV_Unlassified_OL310752.1_00045	Chlor_AMIV_KF938901.1_00046
OG0000015	MCV_Unlassified_OL310752.1_00114	Chlor_AMIV_KF938901.1_00047
OG0000016	MCV_Unlassified_OL310752.1_00004	Chlor_AMIV_KF938901.1_00054
OG0000017	MCV_Unlassified_OL310752.1_00096	Chlor_AMIV_KF938901.1_00060
OG0000018	MCV_Unlassified_OL310752.1_00071	Chlor_AMIV_KF938901.1_00074
OG0000019	MCV_Unlassified_OL310752.1_00027	Chlor_AMIV_KF938901.1_00092
OG0000020	MCV_Unlassified_OL310752.1_00072	Chlor_AMIV_KF938901.1_00095
OG0000021	MCV_Unlassified_OL310752.1_00085	Chlor_AMIV_KF938901.1_00123
OG0000022	MCV_Unlassified_OL310752.1_00021	Chlor_AMIV_KF938901.1_00124
OG0000023	MCV_Unlassified_OL310752.1_00052	Chlor_AMIV_KF938901.1_00031
OG0000024	MCV_Unlassified_OL310752.1_00104	Chlor_AMIV_KF938901.1_00094
OG0000025	MCV_Unlassified_OL310752.1_00028	Chlor_AMIV_KF938901.1_00093
