Orthogroup	MF599468.1	OM037668.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OM037668.1_00035
OG0000001	MF599468.1_00163	OM037668.1_00056
OG0000002	MF599468.1_00152	OM037668.1_00057
OG0000003	MF599468.1_00011	OM037668.1_00050
OG0000004	MF599468.1_00092	OM037668.1_00076
OG0000005	MF599468.1_00154	OM037668.1_00080
OG0000006	MF599468.1_00010	OM037668.1_00021
OG0000007	MF599468.1_00174	OM037668.1_00084
OG0000008	MF599468.1_00030	OM037668.1_00038
OG0000009	MF599468.1_00075	OM037668.1_00077
OG0000011	MF599468.1_00149	OM037668.1_00009
OG0000012	MF599468.1_00112	OM037668.1_00041
OG0000013	MF599468.1_00033	OM037668.1_00098
OG0000014	MF599468.1_00122	OM037668.1_00078
OG0000015	MF599468.1_00009	OM037668.1_00004
OG0000016	MF599468.1_00046	OM037668.1_00089
OG0000017	MF599468.1_00035	OM037668.1_00124
OG0000018	MF599468.1_00117	OM037668.1_00073
OG0000019	MF599468.1_00106	OM037668.1_00090
OG0000020	MF599468.1_00090	OM037668.1_00123
OG0000021	MF599468.1_00116	OM037668.1_00013
OG0000022	MF599468.1_00071	OM037668.1_00127
OG0000023	MF599468.1_00171	OM037668.1_00113
OG0000026	MF599468.1_00039	OM037668.1_00074
OG0000047	MF599468.1_00013	OM037668.1_00097
OG0000173	MF599468.1_00098	OM037668.1_00023
