Orthogroup	MF599468.1	MK098185.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MK098185.1_00033
OG0000001	MF599468.1_00163	MK098185.1_00008
OG0000002	MF599468.1_00152	MK098185.1_00007
OG0000003	MF599468.1_00011	MK098185.1_00015
OG0000004	MF599468.1_00092	MK098185.1_00112
OG0000005	MF599468.1_00154	MK098185.1_00095
OG0000006	MF599468.1_00010	MK098185.1_00076
OG0000007	MF599468.1_00174	MK098185.1_00090
OG0000008	MF599468.1_00030	MK098185.1_00032
OG0000009	MF599468.1_00075	MK098185.1_00114
OG0000011	MF599468.1_00149	MK098185.1_00064
OG0000012	MF599468.1_00112	MK098185.1_00022
OG0000013	MF599468.1_00033	MK098185.1_00058
OG0000014	MF599468.1_00122	MK098185.1_00122
OG0000015	MF599468.1_00009	MK098185.1_00123
OG0000016	MF599468.1_00046	MK098185.1_00087
OG0000017	MF599468.1_00035	MK098185.1_00036
OG0000018	MF599468.1_00117	MK098185.1_00107
OG0000019	MF599468.1_00106	MK098185.1_00086
OG0000020	MF599468.1_00090	MK098185.1_00034
OG0000021	MF599468.1_00116	MK098185.1_00005
OG0000022	MF599468.1_00071	MK098185.1_00038
OG0000023	MF599468.1_00171	MK098185.1_00047
OG0000026	MF599468.1_00039	MK098185.1_00110
OG0000047	MF599468.1_00013	MK098185.1_00059
OG0000069	MF599468.1_00131	MK098185.1_00098
