Orthogroup	MF599468.1	OL774653.1
OG0000000	MF599468.1_00057, MF599468.1_00056	OL774653.1_00051
OG0000001	MF599468.1_00163	OL774653.1_00026
OG0000002	MF599468.1_00152	OL774653.1_00025
OG0000003	MF599468.1_00011	OL774653.1_00032
OG0000004	MF599468.1_00092	OL774653.1_00006
OG0000005	MF599468.1_00154	OL774653.1_00114
OG0000006	MF599468.1_00010	OL774653.1_00094
OG0000007	MF599468.1_00174	OL774653.1_00108
OG0000008	MF599468.1_00030	OL774653.1_00050
OG0000009	MF599468.1_00075	OL774653.1_00008
OG0000011	MF599468.1_00149	OL774653.1_00082
OG0000012	MF599468.1_00112	OL774653.1_00039
OG0000013	MF599468.1_00033	OL774653.1_00076
OG0000014	MF599468.1_00122	OL774653.1_00016
OG0000015	MF599468.1_00009	OL774653.1_00017
OG0000016	MF599468.1_00046	OL774653.1_00105
OG0000017	MF599468.1_00035	OL774653.1_00054
OG0000018	MF599468.1_00117	OL774653.1_00001
OG0000019	MF599468.1_00106	OL774653.1_00104
OG0000020	MF599468.1_00090	OL774653.1_00052
OG0000021	MF599468.1_00116	OL774653.1_00023
OG0000022	MF599468.1_00071	OL774653.1_00056
OG0000023	MF599468.1_00171	OL774653.1_00065
OG0000026	MF599468.1_00039	OL774653.1_00004
OG0000047	MF599468.1_00013	OL774653.1_00077
OG0000069	MF599468.1_00131	OL774653.1_00117
