Orthogroup	MF599468.1	MN803438.1
OG0000000	MF599468.1_00057, MF599468.1_00056	MN803438.1_00124
OG0000001	MF599468.1_00163	MN803438.1_00101, MN803438.1_00056
OG0000002	MF599468.1_00152	MN803438.1_00023
OG0000003	MF599468.1_00011	MN803438.1_00113
OG0000004	MF599468.1_00092	MN803438.1_00104
OG0000005	MF599468.1_00154	MN803438.1_00071
OG0000006	MF599468.1_00010	MN803438.1_00142
OG0000007	MF599468.1_00174	MN803438.1_00027
OG0000008	MF599468.1_00030	MN803438.1_00106
OG0000009	MF599468.1_00075	MN803438.1_00109
OG0000011	MF599468.1_00149	MN803438.1_00049
OG0000012	MF599468.1_00112	MN803438.1_00128
OG0000013	MF599468.1_00033	MN803438.1_00007
OG0000014	MF599468.1_00122	MN803438.1_00070
OG0000015	MF599468.1_00009	MN803438.1_00046
OG0000016	MF599468.1_00046	MN803438.1_00122
OG0000017	MF599468.1_00035	MN803438.1_00035
OG0000018	MF599468.1_00117	MN803438.1_00051
OG0000019	MF599468.1_00106	MN803438.1_00097
OG0000020	MF599468.1_00090	MN803438.1_00068
OG0000021	MF599468.1_00116	MN803438.1_00089
OG0000022	MF599468.1_00071	MN803438.1_00013
OG0000023	MF599468.1_00171	MN803438.1_00077
OG0000026	MF599468.1_00039	MN803438.1_00126
OG0000113	MF599468.1_00036, MF599468.1_00045	MN803438.1_00120, MN803438.1_00107, MN803438.1_00094, MN803438.1_00125
OG0000113	MF599468.1_00096	MN803438.1_00012
OG0000134	MF599468.1_00002	MN803438.1_00115
OG0000135	MF599468.1_00027	MN803438.1_00006
OG0000138	MF599468.1_00051	MN803438.1_00137
OG0000155	MF599468.1_00074	MN803438.1_00135
OG0000158	MF599468.1_00060	MN803438.1_00003
OG0000160	MF599468.1_00156, MF599468.1_00066	MN803438.1_00078
OG0000177	MF599468.1_00089, MF599468.1_00108	MN803438.1_00030
OG0000206	MF599468.1_00006	MN803438.1_00044
OG0000233	MF599468.1_00062	MN803438.1_00140
