Orthogroup	Lymph_LCD4_MN803438.1	Irido_IIV6_AF303741.1
OG0000000	Lymph_LCD4_MN803438.1_00124	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	Lymph_LCD4_MN803438.1_00023	Irido_IIV6_AF303741.1_00125
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	Lymph_LCD4_MN803438.1_00113	Irido_IIV6_AF303741.1_00035
OG0000004	Lymph_LCD4_MN803438.1_00104	Irido_IIV6_AF303741.1_00080
OG0000005	Lymph_LCD4_MN803438.1_00027	Irido_IIV6_AF303741.1_00149
OG0000006	Lymph_LCD4_MN803438.1_00106	Irido_IIV6_AF303741.1_00165
OG0000007	Lymph_LCD4_MN803438.1_00142	Irido_IIV6_AF303741.1_00132
OG0000008	Lymph_LCD4_MN803438.1_00109	Irido_IIV6_AF303741.1_00176
OG0000009	Lymph_LCD4_MN803438.1_00071	Irido_IIV6_AF303741.1_00129
OG0000011	Lymph_LCD4_MN803438.1_00097	Irido_IIV6_AF303741.1_00137
OG0000012	Lymph_LCD4_MN803438.1_00013	Irido_IIV6_AF303741.1_00189
OG0000013	Lymph_LCD4_MN803438.1_00051	Irido_IIV6_AF303741.1_00081
OG0000014	Lymph_LCD4_MN803438.1_00122	Irido_IIV6_AF303741.1_00062
OG0000015	Lymph_LCD4_MN803438.1_00068	Irido_IIV6_AF303741.1_00156
OG0000016	Lymph_LCD4_MN803438.1_00128	Irido_IIV6_AF303741.1_00011
OG0000017	Lymph_LCD4_MN803438.1_00007	Irido_IIV6_AF303741.1_00023
OG0000018	Lymph_LCD4_MN803438.1_00070	Irido_IIV6_AF303741.1_00026
OG0000019	Lymph_LCD4_MN803438.1_00049	Irido_IIV6_AF303741.1_00006
OG0000020	Lymph_LCD4_MN803438.1_00046	Irido_IIV6_AF303741.1_00046
OG0000021	Lymph_LCD4_MN803438.1_00035	Irido_IIV6_AF303741.1_00063
OG0000022	Lymph_LCD4_MN803438.1_00089	Irido_IIV6_AF303741.1_00158
OG0000023	Lymph_LCD4_MN803438.1_00077	Irido_IIV6_AF303741.1_00154
OG0000024	Lymph_LCD4_MN803438.1_00024	Irido_IIV6_AF303741.1_00168
OG0000113	Lymph_LCD4_MN803438.1_00112	Irido_IIV6_AF303741.1_00170
OG0000113	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125	Irido_IIV6_AF303741.1_00169
OG0000133	Lymph_LCD4_MN803438.1_00006	Irido_IIV6_AF303741.1_00157
OG0000134	Lymph_LCD4_MN803438.1_00115	Irido_IIV6_AF303741.1_00126
OG0000137	Lymph_LCD4_MN803438.1_00105	Irido_IIV6_AF303741.1_00031
OG0000138	Lymph_LCD4_MN803438.1_00137	Irido_IIV6_AF303741.1_00100, Irido_IIV6_AF303741.1_00162
OG0000139	Lymph_LCD4_MN803438.1_00005	Irido_IIV6_AF303741.1_00101
OG0000154	Lymph_LCD4_MN803438.1_00135	Irido_IIV6_AF303741.1_00183
