Orthogroup	Lymph_LCD4_MN803438.1	Irido_IIV31_HF920637.1
OG0000000	Lymph_LCD4_MN803438.1_00124	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Lymph_LCD4_MN803438.1_00023	Irido_IIV31_HF920637.1_00143
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Irido_IIV31_HF920637.1_00059
OG0000003	Lymph_LCD4_MN803438.1_00113	Irido_IIV31_HF920637.1_00159
OG0000004	Lymph_LCD4_MN803438.1_00104	Irido_IIV31_HF920637.1_00025
OG0000005	Lymph_LCD4_MN803438.1_00027	Irido_IIV31_HF920637.1_00172
OG0000006	Lymph_LCD4_MN803438.1_00106	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Lymph_LCD4_MN803438.1_00142	Irido_IIV31_HF920637.1_00121
OG0000008	Lymph_LCD4_MN803438.1_00109	Irido_IIV31_HF920637.1_00153
OG0000009	Lymph_LCD4_MN803438.1_00071	Irido_IIV31_HF920637.1_00221
OG0000011	Lymph_LCD4_MN803438.1_00097	Irido_IIV31_HF920637.1_00197
OG0000012	Lymph_LCD4_MN803438.1_00013	Irido_IIV31_HF920637.1_00213
OG0000013	Lymph_LCD4_MN803438.1_00051	Irido_IIV31_HF920637.1_00111
OG0000014	Lymph_LCD4_MN803438.1_00122	Irido_IIV31_HF920637.1_00079
OG0000015	Lymph_LCD4_MN803438.1_00068	Irido_IIV31_HF920637.1_00031
OG0000016	Lymph_LCD4_MN803438.1_00128	Irido_IIV31_HF920637.1_00001
OG0000017	Lymph_LCD4_MN803438.1_00007	Irido_IIV31_HF920637.1_00017
OG0000018	Lymph_LCD4_MN803438.1_00070	Irido_IIV31_HF920637.1_00108
OG0000019	Lymph_LCD4_MN803438.1_00049	Irido_IIV31_HF920637.1_00217
OG0000020	Lymph_LCD4_MN803438.1_00046	Irido_IIV31_HF920637.1_00152
OG0000021	Lymph_LCD4_MN803438.1_00035	Irido_IIV31_HF920637.1_00073
OG0000022	Lymph_LCD4_MN803438.1_00089	Irido_IIV31_HF920637.1_00041
OG0000023	Lymph_LCD4_MN803438.1_00077	Irido_IIV31_HF920637.1_00033
OG0000024	Lymph_LCD4_MN803438.1_00024	Irido_IIV31_HF920637.1_00061
OG0000030	Lymph_LCD4_MN803438.1_00145	Irido_IIV31_HF920637.1_00127
OG0000113	Lymph_LCD4_MN803438.1_00112	Irido_IIV31_HF920637.1_00138
OG0000113	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125	Irido_IIV31_HF920637.1_00148, Irido_IIV31_HF920637.1_00077
OG0000133	Lymph_LCD4_MN803438.1_00006	Irido_IIV31_HF920637.1_00014
OG0000134	Lymph_LCD4_MN803438.1_00115	Irido_IIV31_HF920637.1_00219
OG0000137	Lymph_LCD4_MN803438.1_00105	Irido_IIV31_HF920637.1_00105
OG0000138	Lymph_LCD4_MN803438.1_00137	Irido_IIV31_HF920637.1_00181
OG0000139	Lymph_LCD4_MN803438.1_00005	Irido_IIV31_HF920637.1_00123
OG0000154	Lymph_LCD4_MN803438.1_00135	Irido_IIV31_HF920637.1_00168
OG0000160	Lymph_LCD4_MN803438.1_00078	Irido_IIV31_HF920637.1_00072
OG0000198	Lymph_LCD4_MN803438.1_00045	Irido_IIV31_HF920637.1_00024
