Orthogroup	Lymph_LCD4_MN803438.1	MCV_MP1_LYCI_OL774655.1
OG0000000	Lymph_LCD4_MN803438.1_00124	MCV_MP1_LYCI_OL774655.1_00034
OG0000001	Lymph_LCD4_MN803438.1_00023	MCV_MP1_LYCI_OL774655.1_00007
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	MCV_MP1_LYCI_OL774655.1_00008
OG0000003	Lymph_LCD4_MN803438.1_00113	MCV_MP1_LYCI_OL774655.1_00015
OG0000004	Lymph_LCD4_MN803438.1_00104	MCV_MP1_LYCI_OL774655.1_00113
OG0000005	Lymph_LCD4_MN803438.1_00027	MCV_MP1_LYCI_OL774655.1_00091
OG0000006	Lymph_LCD4_MN803438.1_00106	MCV_MP1_LYCI_OL774655.1_00033
OG0000007	Lymph_LCD4_MN803438.1_00142	MCV_MP1_LYCI_OL774655.1_00078
OG0000008	Lymph_LCD4_MN803438.1_00109	MCV_MP1_LYCI_OL774655.1_00115
OG0000009	Lymph_LCD4_MN803438.1_00071	MCV_MP1_LYCI_OL774655.1_00096
OG0000011	Lymph_LCD4_MN803438.1_00097	MCV_MP1_LYCI_OL774655.1_00087
OG0000012	Lymph_LCD4_MN803438.1_00013	MCV_MP1_LYCI_OL774655.1_00039
OG0000013	Lymph_LCD4_MN803438.1_00051	MCV_MP1_LYCI_OL774655.1_00108
OG0000014	Lymph_LCD4_MN803438.1_00122	MCV_MP1_LYCI_OL774655.1_00088
OG0000015	Lymph_LCD4_MN803438.1_00068	MCV_MP1_LYCI_OL774655.1_00035
OG0000016	Lymph_LCD4_MN803438.1_00128	MCV_MP1_LYCI_OL774655.1_00022
OG0000017	Lymph_LCD4_MN803438.1_00007	MCV_MP1_LYCI_OL774655.1_00060
OG0000018	Lymph_LCD4_MN803438.1_00070	MCV_MP1_LYCI_OL774655.1_00123
OG0000019	Lymph_LCD4_MN803438.1_00049	MCV_MP1_LYCI_OL774655.1_00066
OG0000020	Lymph_LCD4_MN803438.1_00046	MCV_MP1_LYCI_OL774655.1_00124
OG0000021	Lymph_LCD4_MN803438.1_00035	MCV_MP1_LYCI_OL774655.1_00037
OG0000022	Lymph_LCD4_MN803438.1_00089	MCV_MP1_LYCI_OL774655.1_00005
OG0000023	Lymph_LCD4_MN803438.1_00077	MCV_MP1_LYCI_OL774655.1_00048
OG0000024	Lymph_LCD4_MN803438.1_00024	MCV_MP1_LYCI_OL774655.1_00030
OG0000026	Lymph_LCD4_MN803438.1_00126	MCV_MP1_LYCI_OL774655.1_00111
OG0000027	Lymph_LCD4_MN803438.1_00037	MCV_MP1_LYCI_OL774655.1_00089
OG0000028	Lymph_LCD4_MN803438.1_00054	MCV_MP1_LYCI_OL774655.1_00051
OG0000030	Lymph_LCD4_MN803438.1_00145	MCV_MP1_LYCI_OL774655.1_00006
