Orthogroup	Lymph_LCD4_MN803438.1	Chlor_IIV22_HF920633.1
OG0000000	Lymph_LCD4_MN803438.1_00124	Chlor_IIV22_HF920633.1_00044
OG0000001	Lymph_LCD4_MN803438.1_00023	Chlor_IIV22_HF920633.1_00073
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	Chlor_IIV22_HF920633.1_00069
OG0000003	Lymph_LCD4_MN803438.1_00113	Chlor_IIV22_HF920633.1_00127
OG0000004	Lymph_LCD4_MN803438.1_00104	Chlor_IIV22_HF920633.1_00079
OG0000005	Lymph_LCD4_MN803438.1_00027	Chlor_IIV22_HF920633.1_00091
OG0000006	Lymph_LCD4_MN803438.1_00106	Chlor_IIV22_HF920633.1_00043
OG0000007	Lymph_LCD4_MN803438.1_00142	Chlor_IIV22_HF920633.1_00025
OG0000008	Lymph_LCD4_MN803438.1_00109	Chlor_IIV22_HF920633.1_00122
OG0000009	Lymph_LCD4_MN803438.1_00071	Chlor_IIV22_HF920633.1_00085
OG0000011	Lymph_LCD4_MN803438.1_00097	Chlor_IIV22_HF920633.1_00163
OG0000012	Lymph_LCD4_MN803438.1_00013	Chlor_IIV22_HF920633.1_00175
OG0000013	Lymph_LCD4_MN803438.1_00051	Chlor_IIV22_HF920633.1_00003
OG0000014	Lymph_LCD4_MN803438.1_00122	Chlor_IIV22_HF920633.1_00094
OG0000015	Lymph_LCD4_MN803438.1_00068	Chlor_IIV22_HF920633.1_00080
OG0000016	Lymph_LCD4_MN803438.1_00128	Chlor_IIV22_HF920633.1_00001
OG0000017	Lymph_LCD4_MN803438.1_00007	Chlor_IIV22_HF920633.1_00067
OG0000018	Lymph_LCD4_MN803438.1_00070	Chlor_IIV22_HF920633.1_00138
OG0000019	Lymph_LCD4_MN803438.1_00049	Chlor_IIV22_HF920633.1_00118
OG0000020	Lymph_LCD4_MN803438.1_00046	Chlor_IIV22_HF920633.1_00058
OG0000021	Lymph_LCD4_MN803438.1_00035	Chlor_IIV22_HF920633.1_00158
OG0000022	Lymph_LCD4_MN803438.1_00089	Chlor_IIV22_HF920633.1_00097
OG0000023	Lymph_LCD4_MN803438.1_00077	Chlor_IIV22_HF920633.1_00017
OG0000024	Lymph_LCD4_MN803438.1_00024	Chlor_IIV22_HF920633.1_00062
OG0000113	Lymph_LCD4_MN803438.1_00112	Chlor_IIV22_HF920633.1_00086
OG0000113	Lymph_LCD4_MN803438.1_00021, Lymph_LCD4_MN803438.1_00012, Lymph_LCD4_MN803438.1_00120, Lymph_LCD4_MN803438.1_00107, Lymph_LCD4_MN803438.1_00094, Lymph_LCD4_MN803438.1_00125	Chlor_IIV22_HF920633.1_00145
OG0000133	Lymph_LCD4_MN803438.1_00006	Chlor_IIV22_HF920633.1_00064
OG0000134	Lymph_LCD4_MN803438.1_00115	Chlor_IIV22_HF920633.1_00135
OG0000137	Lymph_LCD4_MN803438.1_00105	Chlor_IIV22_HF920633.1_00132
OG0000138	Lymph_LCD4_MN803438.1_00137	Chlor_IIV22_HF920633.1_00053
OG0000139	Lymph_LCD4_MN803438.1_00005	Chlor_IIV22_HF920633.1_00156
OG0000152	Lymph_LCD4_MN803438.1_00003	Chlor_IIV22_HF920633.1_00024
OG0000154	Lymph_LCD4_MN803438.1_00135	Chlor_IIV22_HF920633.1_00036
OG0000165	Lymph_LCD4_MN803438.1_00092	Chlor_IIV22_HF920633.1_00034
OG0000166	Lymph_LCD4_MN803438.1_00028	Chlor_IIV22_HF920633.1_00171
OG0000198	Lymph_LCD4_MN803438.1_00045	Chlor_IIV22_HF920633.1_00139
