Orthogroup	Lymph_LCD4_MN803438.1	MCV_MP1_RBIV_AY532606.1
OG0000000	Lymph_LCD4_MN803438.1_00124	MCV_MP1_RBIV_AY532606.1_00030
OG0000001	Lymph_LCD4_MN803438.1_00023	MCV_MP1_RBIV_AY532606.1_00006
OG0000002	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101	MCV_MP1_RBIV_AY532606.1_00007
OG0000003	Lymph_LCD4_MN803438.1_00113	MCV_MP1_RBIV_AY532606.1_00014
OG0000004	Lymph_LCD4_MN803438.1_00104	MCV_MP1_RBIV_AY532606.1_00116, MCV_MP1_RBIV_AY532606.1_00117
OG0000005	Lymph_LCD4_MN803438.1_00027	MCV_MP1_RBIV_AY532606.1_00093
OG0000006	Lymph_LCD4_MN803438.1_00106	MCV_MP1_RBIV_AY532606.1_00029
OG0000007	Lymph_LCD4_MN803438.1_00142	MCV_MP1_RBIV_AY532606.1_00078
OG0000008	Lymph_LCD4_MN803438.1_00109	MCV_MP1_RBIV_AY532606.1_00120, MCV_MP1_RBIV_AY532606.1_00119
OG0000009	Lymph_LCD4_MN803438.1_00071	MCV_MP1_RBIV_AY532606.1_00099, MCV_MP1_RBIV_AY532606.1_00098
OG0000011	Lymph_LCD4_MN803438.1_00097	MCV_MP1_RBIV_AY532606.1_00088
OG0000012	Lymph_LCD4_MN803438.1_00013	MCV_MP1_RBIV_AY532606.1_00035
OG0000013	Lymph_LCD4_MN803438.1_00051	MCV_MP1_RBIV_AY532606.1_00111
OG0000014	Lymph_LCD4_MN803438.1_00122	MCV_MP1_RBIV_AY532606.1_00089
OG0000015	Lymph_LCD4_MN803438.1_00068	MCV_MP1_RBIV_AY532606.1_00031
OG0000016	Lymph_LCD4_MN803438.1_00128	MCV_MP1_RBIV_AY532606.1_00020
OG0000017	Lymph_LCD4_MN803438.1_00007	MCV_MP1_RBIV_AY532606.1_00057
OG0000018	Lymph_LCD4_MN803438.1_00070	MCV_MP1_RBIV_AY532606.1_00125
OG0000019	Lymph_LCD4_MN803438.1_00049	MCV_MP1_RBIV_AY532606.1_00064
OG0000020	Lymph_LCD4_MN803438.1_00046	MCV_MP1_RBIV_AY532606.1_00126
OG0000021	Lymph_LCD4_MN803438.1_00035	MCV_MP1_RBIV_AY532606.1_00033
OG0000022	Lymph_LCD4_MN803438.1_00089	MCV_MP1_RBIV_AY532606.1_00004
OG0000024	Lymph_LCD4_MN803438.1_00024	MCV_MP1_RBIV_AY532606.1_00026
OG0000026	Lymph_LCD4_MN803438.1_00126	MCV_MP1_RBIV_AY532606.1_00114
OG0000027	Lymph_LCD4_MN803438.1_00037	MCV_MP1_RBIV_AY532606.1_00090
OG0000028	Lymph_LCD4_MN803438.1_00054	MCV_MP1_RBIV_AY532606.1_00047
OG0000030	Lymph_LCD4_MN803438.1_00145	MCV_MP1_RBIV_AY532606.1_00005
