Orthogroup	HF920637.1	AY532606.1
OG0000000	HF920637.1_00129, HF920637.1_00164	AY532606.1_00030
OG0000001	HF920637.1_00059	AY532606.1_00007
OG0000002	HF920637.1_00143	AY532606.1_00006
OG0000003	HF920637.1_00159	AY532606.1_00014
OG0000004	HF920637.1_00025	AY532606.1_00116, AY532606.1_00117
OG0000005	HF920637.1_00221	AY532606.1_00099, AY532606.1_00098
OG0000006	HF920637.1_00121	AY532606.1_00078
OG0000007	HF920637.1_00172	AY532606.1_00093
OG0000008	HF920637.1_00176, HF920637.1_00175	AY532606.1_00029
OG0000009	HF920637.1_00153	AY532606.1_00120, AY532606.1_00119
OG0000011	HF920637.1_00217	AY532606.1_00064
OG0000012	HF920637.1_00001	AY532606.1_00020
OG0000013	HF920637.1_00017	AY532606.1_00057
OG0000014	HF920637.1_00108	AY532606.1_00125
OG0000015	HF920637.1_00152	AY532606.1_00126
OG0000016	HF920637.1_00079	AY532606.1_00089
OG0000017	HF920637.1_00073	AY532606.1_00033
OG0000018	HF920637.1_00111	AY532606.1_00111
OG0000019	HF920637.1_00197	AY532606.1_00088
OG0000020	HF920637.1_00031	AY532606.1_00031
OG0000021	HF920637.1_00041	AY532606.1_00004
OG0000022	HF920637.1_00213	AY532606.1_00035
OG0000024	HF920637.1_00061	AY532606.1_00026
OG0000025	HF920637.1_00156	AY532606.1_00066, AY532606.1_00065
OG0000031	HF920637.1_00127	AY532606.1_00005
